sample_id,user_id,fold,label,e1_prediction,e2_prediction,e1_correct,e2_correct,outcome
train__c01__user8__7-1-2,user8,1,1,6,37,False,False,both_wrong
train__c01__user8__7-1-3,user8,1,1,8,1,False,True,e2_only
train__c01__user9__1-1-1,user9,0,1,8,8,False,False,both_wrong
train__c02__user16__2-2-1,user16,1,2,1,1,False,False,both_wrong
train__c02__user16__2-2-2,user16,1,2,6,6,False,False,both_wrong
train__c02__user16__2-2-3,user16,1,2,2,6,True,False,e1_only
train__c02__user18__7-1-1,user18,0,2,8,8,False,False,both_wrong
train__c02__user18__7-1-2,user18,0,2,5,5,False,False,both_wrong
train__c02__user18__7-1-3,user18,0,2,5,6,False,False,both_wrong
train__c02__user19__1-1-1,user19,2,2,2,2,True,True,both_correct
train__c02__user19__1-1-2,user19,2,2,2,2,True,True,both_correct
train__c02__user19__1-1-3,user19,2,2,2,2,True,True,both_correct
train__c02__user1__1-1-1,user1,1,2,23,23,False,False,both_wrong
train__c02__user1__1-1-2,user1,1,2,23,6,False,False,both_wrong
train__c02__user1__1-1-3,user1,1,2,31,23,False,False,both_wrong
train__c02__user20__1-1-1,user20,0,2,6,6,False,False,both_wrong
train__c02__user20__1-1-2,user20,0,2,31,31,False,False,both_wrong
train__c02__user20__1-1-3,user20,0,2,6,6,False,False,both_wrong
train__c02__user20__4-2-1,user20,0,2,31,31,False,False,both_wrong
train__c02__user20__4-2-2,user20,0,2,31,31,False,False,both_wrong
train__c02__user20__4-2-3,user20,0,2,6,31,False,False,both_wrong
train__c02__user21__4-2-1,user21,0,2,11,11,False,False,both_wrong
train__c02__user21__4-2-2,user21,0,2,36,8,False,False,both_wrong
train__c02__user21__4-2-3,user21,0,2,7,9,False,False,both_wrong
train__c02__user22__1-2-1,user22,2,2,6,38,False,False,both_wrong
train__c02__user22__1-2-2,user22,2,2,23,23,False,False,both_wrong
train__c02__user22__1-2-3,user22,2,2,20,20,False,False,both_wrong
train__c02__user22__2-2-1,user22,2,2,6,6,False,False,both_wrong
train__c02__user22__2-2-2,user22,2,2,7,0,False,False,both_wrong
train__c02__user22__2-2-3,user22,2,2,7,1,False,False,both_wrong
train__c02__user3__1-2-1,user3,0,2,6,6,False,False,both_wrong
train__c02__user3__1-2-3,user3,0,2,6,6,False,False,both_wrong
train__c02__user5__1-1-1,user5,2,2,7,7,False,False,both_wrong
train__c02__user5__1-1-2,user5,2,2,7,7,False,False,both_wrong
train__c02__user5__1-1-3,user5,2,2,7,7,False,False,both_wrong
train__c02__user5__7-1-1,user5,2,2,23,26,False,False,both_wrong
train__c02__user5__7-1-2,user5,2,2,23,26,False,False,both_wrong
train__c02__user5__7-1-3,user5,2,2,23,23,False,False,both_wrong
train__c02__user6__2-2-1,user6,2,2,1,1,False,False,both_wrong
train__c02__user6__2-2-2,user6,2,2,0,1,False,False,both_wrong
train__c02__user7__1-1-1,user7,2,2,7,7,False,False,both_wrong
train__c02__user7__1-1-2,user7,2,2,37,2,False,True,e2_only
train__c02__user7__1-1-3,user7,2,2,6,2,False,True,e2_only
train__c02__user8__7-1-2,user8,1,2,2,2,True,True,both_correct
train__c02__user8__7-1-3,user8,1,2,6,5,False,False,both_wrong
train__c02__user9__1-1-1,user9,0,2,8,8,False,False,both_wrong
train__c02__user9__1-1-2,user9,0,2,6,8,False,False,both_wrong
train__c02__user9__1-1-3,user9,0,2,8,8,False,False,both_wrong
train__c03__user18__6-1-1,user18,0,3,36,36,False,False,both_wrong
train__c03__user18__6-1-2,user18,0,3,36,36,False,False,both_wrong
train__c03__user18__6-1-3,user18,0,3,36,36,False,False,both_wrong
train__c03__user18__7-1-1,user18,0,3,31,5,False,False,both_wrong
train__c03__user18__7-1-2,user18,0,3,31,3,False,True,e2_only
train__c03__user18__7-1-3,user18,0,3,31,5,False,False,both_wrong
train__c03__user19__3-1-1,user19,2,3,21,21,False,False,both_wrong
train__c03__user19__3-1-2,user19,2,3,23,21,False,False,both_wrong
train__c03__user19__3-1-3,user19,2,3,3,3,True,True,both_correct
train__c03__user22__6-1-1,user22,2,3,5,3,False,True,e2_only
train__c03__user22__6-1-2,user22,2,3,36,36,False,False,both_wrong
train__c03__user22__6-1-3,user22,2,3,36,36,False,False,both_wrong
train__c03__user22__7-2-1,user22,2,3,12,12,False,False,both_wrong
train__c03__user22__7-2-2,user22,2,3,12,12,False,False,both_wrong
train__c03__user22__7-2-3,user22,2,3,31,13,False,False,both_wrong
train__c03__user7__5-1-1,user7,2,3,20,3,False,True,e2_only
train__c03__user7__5-1-2,user7,2,3,30,3,False,True,e2_only
train__c03__user7__5-1-3,user7,2,3,20,3,False,True,e2_only
train__c03__user7__6-1-1,user7,2,3,28,28,False,False,both_wrong
train__c03__user7__6-1-2,user7,2,3,28,28,False,False,both_wrong
train__c03__user7__6-1-3,user7,2,3,31,31,False,False,both_wrong
train__c03__user8__6-1-1,user8,1,3,36,36,False,False,both_wrong
train__c03__user8__6-1-2,user8,1,3,36,3,False,True,e2_only
train__c03__user8__6-1-3,user8,1,3,36,36,False,False,both_wrong
train__c03__user8__7-1-1,user8,1,3,36,36,False,False,both_wrong
train__c03__user8__7-1-2,user8,1,3,36,3,False,True,e2_only
train__c03__user8__7-1-3,user8,1,3,36,36,False,False,both_wrong
train__c03__user9__3-1-1,user9,0,3,27,27,False,False,both_wrong
train__c03__user9__3-1-2,user9,0,3,33,27,False,False,both_wrong
train__c03__user9__3-1-3,user9,0,3,27,27,False,False,both_wrong
train__c04__user16__2-2-1,user16,1,4,4,9,True,False,e1_only
train__c04__user16__2-2-2,user16,1,4,11,11,False,False,both_wrong
train__c04__user16__2-2-3,user16,1,4,11,11,False,False,both_wrong
train__c04__user18__1-1-1,user18,0,4,9,11,False,False,both_wrong
train__c04__user18__1-1-2,user18,0,4,9,9,False,False,both_wrong
train__c04__user18__1-1-3,user18,0,4,8,8,False,False,both_wrong
train__c04__user18__7-1-1,user18,0,4,9,11,False,False,both_wrong
train__c04__user18__7-1-2,user18,0,4,11,11,False,False,both_wrong
train__c04__user18__7-1-3,user18,0,4,11,11,False,False,both_wrong
train__c04__user19__1-1-1,user19,2,4,4,4,True,True,both_correct
train__c04__user19__1-1-2,user19,2,4,4,4,True,True,both_correct
train__c04__user19__1-1-3,user19,2,4,4,4,True,True,both_correct
train__c04__user19__5-2-1,user19,2,4,9,9,False,False,both_wrong
train__c04__user19__5-2-2,user19,2,4,9,11,False,False,both_wrong
train__c04__user19__5-2-3,user19,2,4,9,14,False,False,both_wrong
train__c04__user1__1-1-1,user1,1,4,7,23,False,False,both_wrong
train__c04__user20__6-2-1,user20,0,4,9,9,False,False,both_wrong
train__c04__user20__6-2-2,user20,0,4,9,9,False,False,both_wrong
train__c04__user20__6-2-3,user20,0,4,9,9,False,False,both_wrong
train__c04__user21__1-1-1,user21,0,4,9,9,False,False,both_wrong
train__c04__user21__1-1-2,user21,0,4,9,9,False,False,both_wrong
train__c04__user21__1-1-3,user21,0,4,9,9,False,False,both_wrong
train__c04__user21__7-2-1,user21,0,4,9,11,False,False,both_wrong
train__c04__user21__7-2-2,user21,0,4,9,9,False,False,both_wrong
train__c04__user21__7-2-3,user21,0,4,9,9,False,False,both_wrong
train__c04__user22__1-1-2,user22,2,4,4,4,True,True,both_correct
train__c04__user22__1-1-3,user22,2,4,4,4,True,True,both_correct
train__c04__user22__6-2-1,user22,2,4,28,28,False,False,both_wrong
train__c04__user22__6-2-2,user22,2,4,28,28,False,False,both_wrong
train__c04__user22__6-2-3,user22,2,4,28,28,False,False,both_wrong
train__c04__user2__2-2-1,user2,1,4,10,21,False,False,both_wrong
train__c04__user2__2-2-2,user2,1,4,10,10,False,False,both_wrong
train__c04__user2__2-2-3,user2,1,4,21,17,False,False,both_wrong
train__c04__user2__7-3-3,user2,1,4,38,38,False,False,both_wrong
train__c04__user6__2-2-1,user6,2,4,4,8,True,False,e1_only
train__c04__user6__2-2-2,user6,2,4,9,2,False,False,both_wrong
train__c04__user6__2-2-3,user6,2,4,8,8,False,False,both_wrong
train__c04__user7__1-1-1,user7,2,4,4,1,True,False,e1_only
train__c04__user7__1-1-2,user7,2,4,37,2,False,False,both_wrong
train__c04__user7__1-1-3,user7,2,4,9,37,False,False,both_wrong
train__c04__user7__7-2-1,user7,2,4,9,11,False,False,both_wrong
train__c04__user7__7-2-2,user7,2,4,4,8,True,False,e1_only
train__c04__user7__7-2-3,user7,2,4,36,36,False,False,both_wrong
train__c04__user8__1-1-1,user8,1,4,4,4,True,True,both_correct
train__c04__user8__1-1-2,user8,1,4,9,4,False,True,e2_only
train__c04__user8__1-1-3,user8,1,4,9,9,False,False,both_wrong
train__c04__user8__7-1-1,user8,1,4,4,4,True,True,both_correct
train__c04__user8__7-1-2,user8,1,4,9,9,False,False,both_wrong
train__c04__user8__7-1-3,user8,1,4,9,9,False,False,both_wrong
train__c04__user9__1-1-1,user9,0,4,9,9,False,False,both_wrong
train__c04__user9__1-1-2,user9,0,4,8,4,False,True,e2_only
train__c04__user9__1-1-3,user9,0,4,8,8,False,False,both_wrong
train__c04__user9__5-2-1,user9,0,4,7,14,False,False,both_wrong
train__c04__user9__5-2-2,user9,0,4,7,14,False,False,both_wrong
train__c04__user9__5-2-3,user9,0,4,14,14,False,False,both_wrong
train__c05__user18__6-1-1,user18,0,5,5,3,True,False,e1_only
train__c05__user18__6-1-2,user18,0,5,31,5,False,True,e2_only
train__c05__user18__6-1-3,user18,0,5,5,5,True,True,both_correct
train__c05__user18__7-1-1,user18,0,5,5,5,True,True,both_correct
train__c05__user18__7-1-2,user18,0,5,31,31,False,False,both_wrong
train__c05__user18__7-1-3,user18,0,5,31,5,False,True,e2_only
train__c05__user19__1-1-1,user19,2,5,5,5,True,True,both_correct
train__c05__user19__1-1-2,user19,2,5,5,5,True,True,both_correct
train__c05__user19__1-1-3,user19,2,5,5,5,True,True,both_correct
train__c05__user1__1-1-1,user1,1,5,31,31,False,False,both_wrong
train__c05__user1__1-1-2,user1,1,5,31,31,False,False,both_wrong
train__c05__user1__1-1-3,user1,1,5,31,31,False,False,both_wrong
train__c05__user21__6-1-1,user21,0,5,5,5,True,True,both_correct
train__c05__user21__6-1-2,user21,0,5,31,5,False,True,e2_only
train__c05__user21__6-1-3,user21,0,5,36,36,False,False,both_wrong
train__c05__user22__2-2-1,user22,2,5,5,5,True,True,both_correct
train__c05__user22__2-2-2,user22,2,5,2,2,False,False,both_wrong
train__c05__user22__2-2-3,user22,2,5,5,5,True,True,both_correct
train__c05__user22__6-1-1,user22,2,5,31,2,False,False,both_wrong
train__c05__user22__6-1-2,user22,2,5,5,5,True,True,both_correct
train__c05__user22__6-1-3,user22,2,5,5,5,True,True,both_correct
train__c05__user22__7-2-1,user22,2,5,31,31,False,False,both_wrong
train__c05__user22__7-2-2,user22,2,5,31,31,False,False,both_wrong
train__c05__user22__7-2-3,user22,2,5,31,31,False,False,both_wrong
train__c05__user3__1-1-1,user3,0,5,6,31,False,False,both_wrong
train__c05__user3__1-1-2,user3,0,5,31,31,False,False,both_wrong
train__c05__user3__1-1-3,user3,0,5,31,31,False,False,both_wrong
train__c05__user7__1-1-1,user7,2,5,5,5,True,True,both_correct
train__c05__user7__1-1-2,user7,2,5,5,2,True,False,e1_only
train__c05__user7__1-1-3,user7,2,5,5,2,True,False,e1_only
train__c05__user7__6-1-1,user7,2,5,31,31,False,False,both_wrong
train__c05__user7__6-1-2,user7,2,5,28,28,False,False,both_wrong
train__c05__user7__6-1-3,user7,2,5,31,31,False,False,both_wrong
train__c05__user8__6-1-1,user8,1,5,5,5,True,True,both_correct
train__c05__user8__6-1-2,user8,1,5,5,5,True,True,both_correct
train__c05__user8__6-1-3,user8,1,5,8,15,False,False,both_wrong
train__c05__user8__7-1-1,user8,1,5,5,5,True,True,both_correct
train__c05__user8__7-1-2,user8,1,5,5,5,True,True,both_correct
train__c05__user8__7-1-3,user8,1,5,5,5,True,True,both_correct
train__c05__user9__1-1-1,user9,0,5,2,5,False,True,e2_only
train__c05__user9__1-1-2,user9,0,5,5,5,True,True,both_correct
train__c05__user9__1-1-3,user9,0,5,36,36,False,False,both_wrong
train__c06__user16__1-2-1,user16,1,6,7,6,False,True,e2_only
train__c06__user16__1-2-2,user16,1,6,6,6,True,True,both_correct
train__c06__user16__1-2-3,user16,1,6,6,6,True,True,both_correct
train__c06__user16__3-2-1,user16,1,6,39,1,False,False,both_wrong
train__c06__user16__3-2-2,user16,1,6,6,6,True,True,both_correct
train__c06__user16__3-2-3,user16,1,6,39,39,False,False,both_wrong
train__c06__user16__5-3-1,user16,1,6,11,7,False,False,both_wrong
train__c06__user16__5-3-2,user16,1,6,19,19,False,False,both_wrong
train__c06__user16__5-3-3,user16,1,6,19,23,False,False,both_wrong
train__c06__user16__6-2-1,user16,1,6,6,6,True,True,both_correct
train__c06__user16__6-2-2,user16,1,6,39,39,False,False,both_wrong
train__c06__user16__6-2-3,user16,1,6,6,6,True,True,both_correct
train__c06__user18__6-2-1,user18,0,6,6,39,True,False,e1_only
train__c06__user18__6-2-3,user18,0,6,6,39,True,False,e1_only
train__c06__user19__3-2-1,user19,2,6,2,20,False,False,both_wrong
train__c06__user19__3-2-2,user19,2,6,20,20,False,False,both_wrong
train__c06__user19__3-2-3,user19,2,6,20,20,False,False,both_wrong
train__c06__user19__7-2-1,user19,2,6,31,2,False,False,both_wrong
train__c06__user19__7-2-2,user19,2,6,31,31,False,False,both_wrong
train__c06__user19__7-2-3,user19,2,6,31,31,False,False,both_wrong
train__c06__user1__4-1-1,user1,1,6,6,6,True,True,both_correct
train__c06__user1__4-1-2,user1,1,6,6,23,True,False,e1_only
train__c06__user1__4-1-3,user1,1,6,23,23,False,False,both_wrong
train__c06__user1__5-1-1,user1,1,6,23,23,False,False,both_wrong
train__c06__user1__5-1-2,user1,1,6,6,23,True,False,e1_only
train__c06__user1__5-1-3,user1,1,6,23,23,False,False,both_wrong
train__c06__user20__2-1-1,user20,0,6,6,6,True,True,both_correct
train__c06__user20__2-1-2,user20,0,6,9,9,False,False,both_wrong
train__c06__user20__2-1-3,user20,0,6,8,6,False,True,e2_only
train__c06__user20__4-1-1,user20,0,6,7,7,False,False,both_wrong
train__c06__user20__4-1-2,user20,0,6,7,39,False,False,both_wrong
train__c06__user20__4-1-3,user20,0,6,7,7,False,False,both_wrong
train__c06__user21__6-2-1,user21,0,6,7,7,False,False,both_wrong
train__c06__user21__6-2-2,user21,0,6,7,7,False,False,both_wrong
train__c06__user21__6-2-3,user21,0,6,7,7,False,False,both_wrong
train__c06__user21__7-1-1,user21,0,6,6,6,True,True,both_correct
train__c06__user21__7-1-2,user21,0,6,6,6,True,True,both_correct
train__c06__user21__7-1-3,user21,0,6,6,6,True,True,both_correct
train__c06__user22__2-1-1,user22,2,6,7,6,False,True,e2_only
train__c06__user22__2-1-2,user22,2,6,7,6,False,True,e2_only
train__c06__user22__2-1-3,user22,2,6,7,31,False,False,both_wrong
train__c06__user22__4-3-1,user22,2,6,20,20,False,False,both_wrong
train__c06__user22__4-3-2,user22,2,6,23,27,False,False,both_wrong
train__c06__user22__4-3-3,user22,2,6,23,23,False,False,both_wrong
train__c06__user22__6-2-1,user22,2,6,23,23,False,False,both_wrong
train__c06__user22__6-2-2,user22,2,6,23,23,False,False,both_wrong
train__c06__user22__6-2-3,user22,2,6,23,23,False,False,both_wrong
train__c06__user2__1-2-1,user2,1,6,6,27,True,False,e1_only
train__c06__user2__1-2-2,user2,1,6,6,6,True,True,both_correct
train__c06__user2__1-2-3,user2,1,6,6,6,True,True,both_correct
train__c06__user2__2-1-1,user2,1,6,6,6,True,True,both_correct
train__c06__user2__2-1-2,user2,1,6,2,2,False,False,both_wrong
train__c06__user2__2-1-3,user2,1,6,7,10,False,False,both_wrong
train__c06__user2__2-2-1,user2,1,6,6,20,True,False,e1_only
train__c06__user2__2-2-2,user2,1,6,6,23,True,False,e1_only
train__c06__user2__2-2-3,user2,1,6,6,6,True,True,both_correct
train__c06__user2__4-2-1,user2,1,6,6,6,True,True,both_correct
train__c06__user2__4-2-2,user2,1,6,6,6,True,True,both_correct
train__c06__user2__4-2-3,user2,1,6,6,6,True,True,both_correct
train__c06__user3__1-2-1,user3,0,6,6,6,True,True,both_correct
train__c06__user3__1-2-2,user3,0,6,6,6,True,True,both_correct
train__c06__user3__1-2-3,user3,0,6,7,7,False,False,both_wrong
train__c06__user3__4-1-1,user3,0,6,6,6,True,True,both_correct
train__c06__user3__4-1-2,user3,0,6,7,7,False,False,both_wrong
train__c06__user3__4-1-3,user3,0,6,6,6,True,True,both_correct
train__c06__user3__5-1-1,user3,0,6,7,7,False,False,both_wrong
train__c06__user3__5-1-2,user3,0,6,7,7,False,False,both_wrong
train__c06__user3__5-1-3,user3,0,6,6,6,True,True,both_correct
train__c06__user5__1-2-1,user5,2,6,6,0,True,False,e1_only
train__c06__user5__1-2-2,user5,2,6,6,0,True,False,e1_only
train__c06__user5__1-2-3,user5,2,6,6,6,True,True,both_correct
train__c06__user5__2-1-1,user5,2,6,19,19,False,False,both_wrong
train__c06__user5__2-1-2,user5,2,6,20,20,False,False,both_wrong
train__c06__user5__2-1-3,user5,2,6,6,19,True,False,e1_only
train__c06__user5__3-2-1,user5,2,6,6,37,True,False,e1_only
train__c06__user5__3-2-2,user5,2,6,37,0,False,False,both_wrong
train__c06__user5__3-2-3,user5,2,6,0,0,False,False,both_wrong
train__c06__user5__6-2-1,user5,2,6,7,7,False,False,both_wrong
train__c06__user5__6-2-2,user5,2,6,6,6,True,True,both_correct
train__c06__user5__6-2-3,user5,2,6,6,6,True,True,both_correct
train__c06__user5__7-2-1,user5,2,6,6,0,True,False,e1_only
train__c06__user5__7-2-2,user5,2,6,0,0,False,False,both_wrong
train__c06__user5__7-2-3,user5,2,6,0,0,False,False,both_wrong
train__c06__user6__1-2-1,user6,2,6,2,2,False,False,both_wrong
train__c06__user6__1-2-2,user6,2,6,6,6,True,True,both_correct
train__c06__user6__1-2-3,user6,2,6,2,2,False,False,both_wrong
train__c06__user6__3-2-1,user6,2,6,6,6,True,True,both_correct
train__c06__user6__3-2-2,user6,2,6,6,6,True,True,both_correct
train__c06__user6__3-2-3,user6,2,6,37,37,False,False,both_wrong
train__c06__user6__5-3-1,user6,2,6,29,15,False,False,both_wrong
train__c06__user6__5-3-2,user6,2,6,29,29,False,False,both_wrong
train__c06__user6__5-3-3,user6,2,6,13,13,False,False,both_wrong
train__c06__user6__6-2-1,user6,2,6,6,6,True,True,both_correct
train__c06__user6__6-2-2,user6,2,6,37,37,False,False,both_wrong
train__c06__user6__6-2-3,user6,2,6,37,37,False,False,both_wrong
train__c06__user7__5-2-1,user7,2,6,6,6,True,True,both_correct
train__c06__user7__5-2-2,user7,2,6,6,6,True,True,both_correct
train__c06__user7__5-2-3,user7,2,6,6,6,True,True,both_correct
train__c06__user8__6-2-1,user8,1,6,6,38,True,False,e1_only
train__c06__user8__6-2-2,user8,1,6,6,6,True,True,both_correct
train__c06__user8__6-2-3,user8,1,6,6,38,True,False,e1_only
train__c06__user9__3-2-1,user9,0,6,6,6,True,True,both_correct
train__c06__user9__3-2-2,user9,0,6,6,6,True,True,both_correct
train__c06__user9__3-2-3,user9,0,6,6,6,True,True,both_correct
train__c06__user9__7-2-1,user9,0,6,6,6,True,True,both_correct
train__c06__user9__7-2-2,user9,0,6,6,6,True,True,both_correct
train__c06__user9__7-2-3,user9,0,6,6,6,True,True,both_correct
train__c07__user16__1-2-1,user16,1,7,7,11,True,False,e1_only
train__c07__user16__1-2-2,user16,1,7,7,11,True,False,e1_only
train__c07__user16__1-2-3,user16,1,7,7,11,True,False,e1_only
train__c07__user16__5-2-1,user16,1,7,7,11,True,False,e1_only
train__c07__user16__5-2-2,user16,1,7,7,11,True,False,e1_only
train__c07__user16__5-2-3,user16,1,7,7,38,True,False,e1_only
train__c07__user16__6-2-1,user16,1,7,7,11,True,False,e1_only
train__c07__user16__6-2-2,user16,1,7,7,11,True,False,e1_only
train__c07__user16__6-2-3,user16,1,7,7,7,True,True,both_correct
train__c07__user16__7-2-1,user16,1,7,7,11,True,False,e1_only
train__c07__user16__7-2-2,user16,1,7,7,11,True,False,e1_only
train__c07__user16__7-2-3,user16,1,7,7,10,True,False,e1_only
train__c07__user18__7-2-1,user18,0,7,7,7,True,True,both_correct
train__c07__user18__7-2-2,user18,0,7,7,7,True,True,both_correct
train__c07__user18__7-2-3,user18,0,7,7,7,True,True,both_correct
train__c07__user19__7-2-1,user19,2,7,7,7,True,True,both_correct
train__c07__user19__7-2-2,user19,2,7,7,7,True,True,both_correct
train__c07__user19__7-2-3,user19,2,7,10,7,False,True,e2_only
train__c07__user1__1-2-1,user1,1,7,7,11,True,False,e1_only
train__c07__user1__1-2-2,user1,1,7,7,11,True,False,e1_only
train__c07__user1__3-1-1,user1,1,7,6,6,False,False,both_wrong
train__c07__user1__3-1-2,user1,1,7,6,6,False,False,both_wrong
train__c07__user1__3-1-3,user1,1,7,6,20,False,False,both_wrong
train__c07__user1__4-1-1,user1,1,7,6,6,False,False,both_wrong
train__c07__user1__4-1-2,user1,1,7,6,23,False,False,both_wrong
train__c07__user1__4-1-3,user1,1,7,6,23,False,False,both_wrong
train__c07__user1__6-1-1,user1,1,7,7,7,True,True,both_correct
train__c07__user1__6-1-2,user1,1,7,7,11,True,False,e1_only
train__c07__user1__6-1-3,user1,1,7,6,6,False,False,both_wrong
train__c07__user20__2-1-1,user20,0,7,6,6,False,False,both_wrong
train__c07__user20__2-1-2,user20,0,7,6,6,False,False,both_wrong
train__c07__user20__2-1-3,user20,0,7,6,6,False,False,both_wrong
train__c07__user20__3-1-1,user20,0,7,6,6,False,False,both_wrong
train__c07__user20__3-1-2,user20,0,7,6,6,False,False,both_wrong
train__c07__user20__3-1-3,user20,0,7,6,6,False,False,both_wrong
train__c07__user20__7-1-1,user20,0,7,7,7,True,True,both_correct
train__c07__user20__7-1-2,user20,0,7,7,7,True,True,both_correct
train__c07__user20__7-1-3,user20,0,7,6,6,False,False,both_wrong
train__c07__user21__7-1-1,user21,0,7,9,9,False,False,both_wrong
train__c07__user21__7-1-2,user21,0,7,6,6,False,False,both_wrong
train__c07__user21__7-1-3,user21,0,7,6,6,False,False,both_wrong
train__c07__user22__3-1-1,user22,2,7,4,37,False,False,both_wrong
train__c07__user22__3-1-2,user22,2,7,7,37,True,False,e1_only
train__c07__user22__3-3-1,user22,2,7,7,7,True,True,both_correct
train__c07__user22__3-3-2,user22,2,7,7,7,True,True,both_correct
train__c07__user22__3-3-3,user22,2,7,7,7,True,True,both_correct
train__c07__user22__4-3-1,user22,2,7,6,6,False,False,both_wrong
train__c07__user22__4-3-2,user22,2,7,6,23,False,False,both_wrong
train__c07__user22__4-3-3,user22,2,7,23,23,False,False,both_wrong
train__c07__user22__6-2-1,user22,2,7,6,23,False,False,both_wrong
train__c07__user22__6-2-2,user22,2,7,6,24,False,False,both_wrong
train__c07__user22__6-2-3,user22,2,7,6,23,False,False,both_wrong
train__c07__user2__1-2-1,user2,1,7,8,4,False,False,both_wrong
train__c07__user2__1-2-2,user2,1,7,8,10,False,False,both_wrong
train__c07__user2__1-2-3,user2,1,7,8,9,False,False,both_wrong
