sample_id,user_id,fold,label,c1_prediction,d2_prediction,c1_correct,d2_correct,outcome
train__c01__user8__7-1-2,user8,1,1,6,7,False,False,both_wrong
train__c01__user8__7-1-3,user8,1,1,1,7,True,False,c1_only
train__c01__user9__1-1-1,user9,0,1,8,7,False,False,both_wrong
train__c02__user16__2-2-1,user16,1,2,1,7,False,False,both_wrong
train__c02__user16__2-2-2,user16,1,2,6,6,False,False,both_wrong
train__c02__user16__2-2-3,user16,1,2,2,6,True,False,c1_only
train__c02__user18__7-1-1,user18,0,2,8,8,False,False,both_wrong
train__c02__user18__7-1-2,user18,0,2,31,39,False,False,both_wrong
train__c02__user18__7-1-3,user18,0,2,5,8,False,False,both_wrong
train__c02__user19__1-1-1,user19,2,2,2,6,True,False,c1_only
train__c02__user19__1-1-2,user19,2,2,2,6,True,False,c1_only
train__c02__user19__1-1-3,user19,2,2,2,2,True,True,both_correct
train__c02__user1__1-1-1,user1,1,2,23,23,False,False,both_wrong
train__c02__user1__1-1-2,user1,1,2,23,23,False,False,both_wrong
train__c02__user1__1-1-3,user1,1,2,5,23,False,False,both_wrong
train__c02__user20__1-1-1,user20,0,2,6,2,False,True,d2_only
train__c02__user20__1-1-2,user20,0,2,31,6,False,False,both_wrong
train__c02__user20__1-1-3,user20,0,2,6,31,False,False,both_wrong
train__c02__user20__4-2-1,user20,0,2,6,31,False,False,both_wrong
train__c02__user20__4-2-2,user20,0,2,31,31,False,False,both_wrong
train__c02__user20__4-2-3,user20,0,2,6,31,False,False,both_wrong
train__c02__user21__4-2-1,user21,0,2,7,7,False,False,both_wrong
train__c02__user21__4-2-2,user21,0,2,8,36,False,False,both_wrong
train__c02__user21__4-2-3,user21,0,2,8,1,False,False,both_wrong
train__c02__user22__1-2-1,user22,2,2,7,23,False,False,both_wrong
train__c02__user22__1-2-2,user22,2,2,23,23,False,False,both_wrong
train__c02__user22__1-2-3,user22,2,2,20,23,False,False,both_wrong
train__c02__user22__2-2-1,user22,2,2,6,7,False,False,both_wrong
train__c02__user22__2-2-2,user22,2,2,7,7,False,False,both_wrong
train__c02__user22__2-2-3,user22,2,2,7,7,False,False,both_wrong
train__c02__user3__1-2-1,user3,0,2,6,6,False,False,both_wrong
train__c02__user3__1-2-3,user3,0,2,6,2,False,True,d2_only
train__c02__user5__1-1-1,user5,2,2,7,7,False,False,both_wrong
train__c02__user5__1-1-2,user5,2,2,7,6,False,False,both_wrong
train__c02__user5__1-1-3,user5,2,2,7,7,False,False,both_wrong
train__c02__user5__7-1-1,user5,2,2,23,23,False,False,both_wrong
train__c02__user5__7-1-2,user5,2,2,23,23,False,False,both_wrong
train__c02__user5__7-1-3,user5,2,2,23,23,False,False,both_wrong
train__c02__user6__2-2-1,user6,2,2,1,1,False,False,both_wrong
train__c02__user6__2-2-2,user6,2,2,0,37,False,False,both_wrong
train__c02__user7__1-1-1,user7,2,2,7,7,False,False,both_wrong
train__c02__user7__1-1-2,user7,2,2,2,37,True,False,c1_only
train__c02__user7__1-1-3,user7,2,2,6,7,False,False,both_wrong
train__c02__user8__7-1-2,user8,1,2,2,7,True,False,c1_only
train__c02__user8__7-1-3,user8,1,2,6,6,False,False,both_wrong
train__c02__user9__1-1-1,user9,0,2,8,2,False,True,d2_only
train__c02__user9__1-1-2,user9,0,2,6,6,False,False,both_wrong
train__c02__user9__1-1-3,user9,0,2,8,8,False,False,both_wrong
train__c03__user18__6-1-1,user18,0,3,36,3,False,True,d2_only
train__c03__user18__6-1-2,user18,0,3,36,36,False,False,both_wrong
train__c03__user18__6-1-3,user18,0,3,36,3,False,True,d2_only
train__c03__user18__7-1-1,user18,0,3,31,3,False,True,d2_only
train__c03__user18__7-1-2,user18,0,3,31,3,False,True,d2_only
train__c03__user18__7-1-3,user18,0,3,31,3,False,True,d2_only
train__c03__user19__3-1-1,user19,2,3,21,17,False,False,both_wrong
train__c03__user19__3-1-2,user19,2,3,31,20,False,False,both_wrong
train__c03__user19__3-1-3,user19,2,3,3,30,True,False,c1_only
train__c03__user22__6-1-1,user22,2,3,3,36,True,False,c1_only
train__c03__user22__6-1-2,user22,2,3,36,36,False,False,both_wrong
train__c03__user22__6-1-3,user22,2,3,36,36,False,False,both_wrong
train__c03__user22__7-2-1,user22,2,3,12,13,False,False,both_wrong
train__c03__user22__7-2-2,user22,2,3,12,32,False,False,both_wrong
train__c03__user22__7-2-3,user22,2,3,12,30,False,False,both_wrong
train__c03__user7__5-1-1,user7,2,3,20,20,False,False,both_wrong
train__c03__user7__5-1-2,user7,2,3,28,33,False,False,both_wrong
train__c03__user7__5-1-3,user7,2,3,20,20,False,False,both_wrong
train__c03__user7__6-1-1,user7,2,3,28,36,False,False,both_wrong
train__c03__user7__6-1-2,user7,2,3,36,29,False,False,both_wrong
train__c03__user7__6-1-3,user7,2,3,36,29,False,False,both_wrong
train__c03__user8__6-1-1,user8,1,3,36,36,False,False,both_wrong
train__c03__user8__6-1-2,user8,1,3,36,36,False,False,both_wrong
train__c03__user8__6-1-3,user8,1,3,36,36,False,False,both_wrong
train__c03__user8__7-1-1,user8,1,3,36,8,False,False,both_wrong
train__c03__user8__7-1-2,user8,1,3,36,36,False,False,both_wrong
train__c03__user8__7-1-3,user8,1,3,5,36,False,False,both_wrong
train__c03__user9__3-1-1,user9,0,3,33,27,False,False,both_wrong
train__c03__user9__3-1-2,user9,0,3,33,33,False,False,both_wrong
train__c03__user9__3-1-3,user9,0,3,33,27,False,False,both_wrong
train__c04__user16__2-2-1,user16,1,4,4,4,True,True,both_correct
train__c04__user16__2-2-2,user16,1,4,11,11,False,False,both_wrong
train__c04__user16__2-2-3,user16,1,4,4,11,True,False,c1_only
train__c04__user18__1-1-1,user18,0,4,11,4,False,True,d2_only
train__c04__user18__1-1-2,user18,0,4,9,4,False,True,d2_only
train__c04__user18__1-1-3,user18,0,4,8,4,False,True,d2_only
train__c04__user18__7-1-1,user18,0,4,9,4,False,True,d2_only
train__c04__user18__7-1-2,user18,0,4,11,4,False,True,d2_only
train__c04__user18__7-1-3,user18,0,4,11,11,False,False,both_wrong
train__c04__user19__1-1-1,user19,2,4,4,11,True,False,c1_only
train__c04__user19__1-1-2,user19,2,4,4,9,True,False,c1_only
train__c04__user19__1-1-3,user19,2,4,4,9,True,False,c1_only
train__c04__user19__5-2-1,user19,2,4,9,9,False,False,both_wrong
train__c04__user19__5-2-2,user19,2,4,9,10,False,False,both_wrong
train__c04__user19__5-2-3,user19,2,4,9,10,False,False,both_wrong
train__c04__user1__1-1-1,user1,1,4,7,6,False,False,both_wrong
train__c04__user20__6-2-1,user20,0,4,9,4,False,True,d2_only
train__c04__user20__6-2-2,user20,0,4,9,9,False,False,both_wrong
train__c04__user20__6-2-3,user20,0,4,9,4,False,True,d2_only
train__c04__user21__1-1-1,user21,0,4,9,4,False,True,d2_only
train__c04__user21__1-1-2,user21,0,4,9,4,False,True,d2_only
train__c04__user21__1-1-3,user21,0,4,9,4,False,True,d2_only
train__c04__user21__7-2-1,user21,0,4,9,9,False,False,both_wrong
train__c04__user21__7-2-2,user21,0,4,9,9,False,False,both_wrong
train__c04__user21__7-2-3,user21,0,4,9,9,False,False,both_wrong
train__c04__user22__1-1-2,user22,2,4,4,9,True,False,c1_only
train__c04__user22__1-1-3,user22,2,4,4,9,True,False,c1_only
train__c04__user22__6-2-1,user22,2,4,28,28,False,False,both_wrong
train__c04__user22__6-2-2,user22,2,4,28,28,False,False,both_wrong
train__c04__user22__6-2-3,user22,2,4,28,28,False,False,both_wrong
train__c04__user2__2-2-1,user2,1,4,10,20,False,False,both_wrong
train__c04__user2__2-2-2,user2,1,4,10,20,False,False,both_wrong
train__c04__user2__2-2-3,user2,1,4,10,20,False,False,both_wrong
train__c04__user2__7-3-3,user2,1,4,38,28,False,False,both_wrong
train__c04__user6__2-2-1,user6,2,4,9,9,False,False,both_wrong
train__c04__user6__2-2-2,user6,2,4,9,9,False,False,both_wrong
train__c04__user6__2-2-3,user6,2,4,8,9,False,False,both_wrong
train__c04__user7__1-1-1,user7,2,4,9,8,False,False,both_wrong
train__c04__user7__1-1-2,user7,2,4,8,1,False,False,both_wrong
train__c04__user7__1-1-3,user7,2,4,9,37,False,False,both_wrong
train__c04__user7__7-2-1,user7,2,4,9,9,False,False,both_wrong
train__c04__user7__7-2-2,user7,2,4,8,9,False,False,both_wrong
train__c04__user7__7-2-3,user7,2,4,36,36,False,False,both_wrong
train__c04__user8__1-1-1,user8,1,4,4,9,True,False,c1_only
train__c04__user8__1-1-2,user8,1,4,4,9,True,False,c1_only
train__c04__user8__1-1-3,user8,1,4,4,9,True,False,c1_only
train__c04__user8__7-1-1,user8,1,4,4,9,True,False,c1_only
train__c04__user8__7-1-2,user8,1,4,24,10,False,False,both_wrong
train__c04__user8__7-1-3,user8,1,4,8,8,False,False,both_wrong
train__c04__user9__1-1-1,user9,0,4,8,9,False,False,both_wrong
train__c04__user9__1-1-2,user9,0,4,8,8,False,False,both_wrong
train__c04__user9__1-1-3,user9,0,4,8,8,False,False,both_wrong
train__c04__user9__5-2-1,user9,0,4,10,14,False,False,both_wrong
train__c04__user9__5-2-2,user9,0,4,10,14,False,False,both_wrong
train__c04__user9__5-2-3,user9,0,4,10,14,False,False,both_wrong
train__c05__user18__6-1-1,user18,0,5,5,3,True,False,c1_only
train__c05__user18__6-1-2,user18,0,5,31,3,False,False,both_wrong
train__c05__user18__6-1-3,user18,0,5,15,5,False,True,d2_only
train__c05__user18__7-1-1,user18,0,5,31,5,False,True,d2_only
train__c05__user18__7-1-2,user18,0,5,31,5,False,True,d2_only
train__c05__user18__7-1-3,user18,0,5,31,5,False,True,d2_only
train__c05__user19__1-1-1,user19,2,5,5,31,True,False,c1_only
train__c05__user19__1-1-2,user19,2,5,5,31,True,False,c1_only
train__c05__user19__1-1-3,user19,2,5,5,31,True,False,c1_only
train__c05__user1__1-1-1,user1,1,5,31,31,False,False,both_wrong
train__c05__user1__1-1-2,user1,1,5,31,23,False,False,both_wrong
train__c05__user1__1-1-3,user1,1,5,31,31,False,False,both_wrong
train__c05__user21__6-1-1,user21,0,5,5,5,True,True,both_correct
train__c05__user21__6-1-2,user21,0,5,31,3,False,False,both_wrong
train__c05__user21__6-1-3,user21,0,5,36,36,False,False,both_wrong
train__c05__user22__2-2-1,user22,2,5,5,31,True,False,c1_only
train__c05__user22__2-2-2,user22,2,5,2,6,False,False,both_wrong
train__c05__user22__2-2-3,user22,2,5,5,31,True,False,c1_only
train__c05__user22__6-1-1,user22,2,5,31,31,False,False,both_wrong
train__c05__user22__6-1-2,user22,2,5,5,31,True,False,c1_only
train__c05__user22__6-1-3,user22,2,5,5,31,True,False,c1_only
train__c05__user22__7-2-1,user22,2,5,31,31,False,False,both_wrong
train__c05__user22__7-2-2,user22,2,5,31,31,False,False,both_wrong
train__c05__user22__7-2-3,user22,2,5,31,31,False,False,both_wrong
train__c05__user3__1-1-1,user3,0,5,6,20,False,False,both_wrong
train__c05__user3__1-1-2,user3,0,5,31,5,False,True,d2_only
train__c05__user3__1-1-3,user3,0,5,31,5,False,True,d2_only
train__c05__user7__1-1-1,user7,2,5,5,5,True,True,both_correct
train__c05__user7__1-1-2,user7,2,5,5,8,True,False,c1_only
train__c05__user7__1-1-3,user7,2,5,5,37,True,False,c1_only
train__c05__user7__6-1-1,user7,2,5,31,31,False,False,both_wrong
train__c05__user7__6-1-2,user7,2,5,28,31,False,False,both_wrong
train__c05__user7__6-1-3,user7,2,5,31,31,False,False,both_wrong
train__c05__user8__6-1-1,user8,1,5,5,5,True,True,both_correct
train__c05__user8__6-1-2,user8,1,5,5,5,True,True,both_correct
train__c05__user8__6-1-3,user8,1,5,5,36,True,False,c1_only
train__c05__user8__7-1-1,user8,1,5,5,6,True,False,c1_only
train__c05__user8__7-1-2,user8,1,5,5,37,True,False,c1_only
train__c05__user8__7-1-3,user8,1,5,31,6,False,False,both_wrong
train__c05__user9__1-1-1,user9,0,5,6,5,False,True,d2_only
train__c05__user9__1-1-2,user9,0,5,6,5,False,True,d2_only
train__c05__user9__1-1-3,user9,0,5,5,5,True,True,both_correct
train__c06__user16__1-2-1,user16,1,6,7,7,False,False,both_wrong
train__c06__user16__1-2-2,user16,1,6,7,6,False,True,d2_only
train__c06__user16__1-2-3,user16,1,6,6,6,True,True,both_correct
train__c06__user16__3-2-1,user16,1,6,39,7,False,False,both_wrong
train__c06__user16__3-2-2,user16,1,6,7,7,False,False,both_wrong
train__c06__user16__3-2-3,user16,1,6,39,7,False,False,both_wrong
train__c06__user16__5-3-1,user16,1,6,10,11,False,False,both_wrong
train__c06__user16__5-3-2,user16,1,6,19,7,False,False,both_wrong
train__c06__user16__5-3-3,user16,1,6,19,23,False,False,both_wrong
train__c06__user16__6-2-1,user16,1,6,6,6,True,True,both_correct
train__c06__user16__6-2-2,user16,1,6,38,38,False,False,both_wrong
train__c06__user16__6-2-3,user16,1,6,6,6,True,True,both_correct
train__c06__user18__6-2-1,user18,0,6,7,23,False,False,both_wrong
train__c06__user18__6-2-3,user18,0,6,7,6,False,True,d2_only
train__c06__user19__3-2-1,user19,2,6,20,31,False,False,both_wrong
train__c06__user19__3-2-2,user19,2,6,20,2,False,False,both_wrong
train__c06__user19__3-2-3,user19,2,6,20,31,False,False,both_wrong
train__c06__user19__7-2-1,user19,2,6,31,31,False,False,both_wrong
train__c06__user19__7-2-2,user19,2,6,31,31,False,False,both_wrong
train__c06__user19__7-2-3,user19,2,6,31,31,False,False,both_wrong
train__c06__user1__4-1-1,user1,1,6,6,6,True,True,both_correct
train__c06__user1__4-1-2,user1,1,6,6,6,True,True,both_correct
train__c06__user1__4-1-3,user1,1,6,23,6,False,True,d2_only
train__c06__user1__5-1-1,user1,1,6,23,6,False,True,d2_only
train__c06__user1__5-1-2,user1,1,6,6,6,True,True,both_correct
train__c06__user1__5-1-3,user1,1,6,23,6,False,True,d2_only
train__c06__user20__2-1-1,user20,0,6,6,2,True,False,c1_only
train__c06__user20__2-1-2,user20,0,6,9,9,False,False,both_wrong
train__c06__user20__2-1-3,user20,0,6,9,2,False,False,both_wrong
train__c06__user20__4-1-1,user20,0,6,7,7,False,False,both_wrong
train__c06__user20__4-1-2,user20,0,6,7,37,False,False,both_wrong
train__c06__user20__4-1-3,user20,0,6,7,38,False,False,both_wrong
train__c06__user21__6-2-1,user21,0,6,7,39,False,False,both_wrong
train__c06__user21__6-2-2,user21,0,6,7,7,False,False,both_wrong
train__c06__user21__6-2-3,user21,0,6,7,39,False,False,both_wrong
train__c06__user21__7-1-1,user21,0,6,6,6,True,True,both_correct
train__c06__user21__7-1-2,user21,0,6,6,6,True,True,both_correct
train__c06__user21__7-1-3,user21,0,6,6,6,True,True,both_correct
train__c06__user22__2-1-1,user22,2,6,6,6,True,True,both_correct
train__c06__user22__2-1-2,user22,2,6,6,6,True,True,both_correct
train__c06__user22__2-1-3,user22,2,6,37,31,False,False,both_wrong
train__c06__user22__4-3-1,user22,2,6,20,20,False,False,both_wrong
train__c06__user22__4-3-2,user22,2,6,23,23,False,False,both_wrong
train__c06__user22__4-3-3,user22,2,6,23,23,False,False,both_wrong
train__c06__user22__6-2-1,user22,2,6,23,23,False,False,both_wrong
train__c06__user22__6-2-2,user22,2,6,23,23,False,False,both_wrong
train__c06__user22__6-2-3,user22,2,6,23,23,False,False,both_wrong
train__c06__user2__1-2-1,user2,1,6,7,6,False,True,d2_only
train__c06__user2__1-2-2,user2,1,6,6,6,True,True,both_correct
train__c06__user2__1-2-3,user2,1,6,6,7,True,False,c1_only
train__c06__user2__2-1-1,user2,1,6,6,6,True,True,both_correct
train__c06__user2__2-1-2,user2,1,6,2,2,False,False,both_wrong
train__c06__user2__2-1-3,user2,1,6,7,2,False,False,both_wrong
train__c06__user2__2-2-1,user2,1,6,6,20,True,False,c1_only
train__c06__user2__2-2-2,user2,1,6,6,23,True,False,c1_only
train__c06__user2__2-2-3,user2,1,6,6,23,True,False,c1_only
train__c06__user2__4-2-1,user2,1,6,6,6,True,True,both_correct
train__c06__user2__4-2-2,user2,1,6,6,6,True,True,both_correct
train__c06__user2__4-2-3,user2,1,6,6,6,True,True,both_correct
train__c06__user3__1-2-1,user3,0,6,6,6,True,True,both_correct
train__c06__user3__1-2-2,user3,0,6,6,6,True,True,both_correct
train__c06__user3__1-2-3,user3,0,6,7,7,False,False,both_wrong
train__c06__user3__4-1-1,user3,0,6,6,7,True,False,c1_only
train__c06__user3__4-1-2,user3,0,6,7,7,False,False,both_wrong
train__c06__user3__4-1-3,user3,0,6,7,7,False,False,both_wrong
train__c06__user3__5-1-1,user3,0,6,7,6,False,True,d2_only
train__c06__user3__5-1-2,user3,0,6,7,7,False,False,both_wrong
train__c06__user3__5-1-3,user3,0,6,6,6,True,True,both_correct
train__c06__user5__1-2-1,user5,2,6,6,6,True,True,both_correct
train__c06__user5__1-2-2,user5,2,6,6,6,True,True,both_correct
train__c06__user5__1-2-3,user5,2,6,6,6,True,True,both_correct
train__c06__user5__2-1-1,user5,2,6,8,6,False,True,d2_only
train__c06__user5__2-1-2,user5,2,6,20,6,False,True,d2_only
train__c06__user5__2-1-3,user5,2,6,6,6,True,True,both_correct
train__c06__user5__3-2-1,user5,2,6,6,6,True,True,both_correct
train__c06__user5__3-2-2,user5,2,6,6,6,True,True,both_correct
train__c06__user5__3-2-3,user5,2,6,6,6,True,True,both_correct
train__c06__user5__6-2-1,user5,2,6,6,7,True,False,c1_only
train__c06__user5__6-2-2,user5,2,6,6,6,True,True,both_correct
train__c06__user5__6-2-3,user5,2,6,6,6,True,True,both_correct
train__c06__user5__7-2-1,user5,2,6,6,6,True,True,both_correct
train__c06__user5__7-2-2,user5,2,6,37,7,False,False,both_wrong
train__c06__user5__7-2-3,user5,2,6,0,8,False,False,both_wrong
train__c06__user6__1-2-1,user6,2,6,38,37,False,False,both_wrong
train__c06__user6__1-2-2,user6,2,6,6,6,True,True,both_correct
train__c06__user6__1-2-3,user6,2,6,2,8,False,False,both_wrong
train__c06__user6__3-2-1,user6,2,6,6,6,True,True,both_correct
train__c06__user6__3-2-2,user6,2,6,6,6,True,True,both_correct
train__c06__user6__3-2-3,user6,2,6,37,37,False,False,both_wrong
train__c06__user6__5-3-1,user6,2,6,29,20,False,False,both_wrong
train__c06__user6__5-3-2,user6,2,6,29,20,False,False,both_wrong
train__c06__user6__5-3-3,user6,2,6,15,29,False,False,both_wrong
train__c06__user6__6-2-1,user6,2,6,6,6,True,True,both_correct
train__c06__user6__6-2-2,user6,2,6,37,6,False,True,d2_only
train__c06__user6__6-2-3,user6,2,6,37,37,False,False,both_wrong
train__c06__user7__5-2-1,user7,2,6,6,6,True,True,both_correct
train__c06__user7__5-2-2,user7,2,6,6,6,True,True,both_correct
train__c06__user7__5-2-3,user7,2,6,6,6,True,True,both_correct
train__c06__user8__6-2-1,user8,1,6,4,6,False,True,d2_only
train__c06__user8__6-2-2,user8,1,6,37,20,False,False,both_wrong
train__c06__user8__6-2-3,user8,1,6,4,12,False,False,both_wrong
train__c06__user9__3-2-1,user9,0,6,6,6,True,True,both_correct
train__c06__user9__3-2-2,user9,0,6,6,6,True,True,both_correct
train__c06__user9__3-2-3,user9,0,6,6,6,True,True,both_correct
train__c06__user9__7-2-1,user9,0,6,6,6,True,True,both_correct
train__c06__user9__7-2-2,user9,0,6,6,6,True,True,both_correct
train__c06__user9__7-2-3,user9,0,6,6,7,True,False,c1_only
train__c07__user16__1-2-1,user16,1,7,7,7,True,True,both_correct
train__c07__user16__1-2-2,user16,1,7,7,7,True,True,both_correct
train__c07__user16__1-2-3,user16,1,7,7,7,True,True,both_correct
train__c07__user16__5-2-1,user16,1,7,7,7,True,True,both_correct
train__c07__user16__5-2-2,user16,1,7,7,7,True,True,both_correct
train__c07__user16__5-2-3,user16,1,7,7,7,True,True,both_correct
train__c07__user16__6-2-1,user16,1,7,7,7,True,True,both_correct
train__c07__user16__6-2-2,user16,1,7,7,7,True,True,both_correct
train__c07__user16__6-2-3,user16,1,7,7,7,True,True,both_correct
train__c07__user16__7-2-1,user16,1,7,7,7,True,True,both_correct
train__c07__user16__7-2-2,user16,1,7,7,7,True,True,both_correct
train__c07__user16__7-2-3,user16,1,7,7,10,True,False,c1_only
train__c07__user18__7-2-1,user18,0,7,7,11,True,False,c1_only
train__c07__user18__7-2-2,user18,0,7,7,8,True,False,c1_only
train__c07__user18__7-2-3,user18,0,7,7,7,True,True,both_correct
train__c07__user19__7-2-1,user19,2,7,7,7,True,True,both_correct
train__c07__user19__7-2-2,user19,2,7,7,7,True,True,both_correct
train__c07__user19__7-2-3,user19,2,7,10,10,False,False,both_wrong
train__c07__user1__1-2-1,user1,1,7,7,7,True,True,both_correct
train__c07__user1__1-2-2,user1,1,7,7,7,True,True,both_correct
train__c07__user1__3-1-1,user1,1,7,6,6,False,False,both_wrong
train__c07__user1__3-1-2,user1,1,7,6,6,False,False,both_wrong
train__c07__user1__3-1-3,user1,1,7,6,6,False,False,both_wrong
train__c07__user1__4-1-1,user1,1,7,6,6,False,False,both_wrong
train__c07__user1__4-1-2,user1,1,7,6,6,False,False,both_wrong
train__c07__user1__4-1-3,user1,1,7,6,6,False,False,both_wrong
train__c07__user1__6-1-1,user1,1,7,6,7,False,True,d2_only
train__c07__user1__6-1-2,user1,1,7,7,7,True,True,both_correct
train__c07__user1__6-1-3,user1,1,7,7,6,True,False,c1_only
train__c07__user20__2-1-1,user20,0,7,6,2,False,False,both_wrong
train__c07__user20__2-1-2,user20,0,7,6,2,False,False,both_wrong
train__c07__user20__2-1-3,user20,0,7,6,2,False,False,both_wrong
train__c07__user20__3-1-1,user20,0,7,6,2,False,False,both_wrong
train__c07__user20__3-1-2,user20,0,7,6,2,False,False,both_wrong
train__c07__user20__3-1-3,user20,0,7,6,2,False,False,both_wrong
train__c07__user20__7-1-1,user20,0,7,7,2,True,False,c1_only
train__c07__user20__7-1-2,user20,0,7,7,6,True,False,c1_only
train__c07__user20__7-1-3,user20,0,7,7,2,True,False,c1_only
train__c07__user21__7-1-1,user21,0,7,9,7,False,True,d2_only
train__c07__user21__7-1-2,user21,0,7,6,6,False,False,both_wrong
train__c07__user21__7-1-3,user21,0,7,6,6,False,False,both_wrong
train__c07__user22__3-1-1,user22,2,7,37,7,False,True,d2_only
train__c07__user22__3-1-2,user22,2,7,37,8,False,False,both_wrong
train__c07__user22__3-3-1,user22,2,7,7,7,True,True,both_correct
train__c07__user22__3-3-2,user22,2,7,7,7,True,True,both_correct
train__c07__user22__3-3-3,user22,2,7,7,7,True,True,both_correct
train__c07__user22__4-3-1,user22,2,7,6,7,False,True,d2_only
train__c07__user22__4-3-2,user22,2,7,23,23,False,False,both_wrong
train__c07__user22__4-3-3,user22,2,7,23,23,False,False,both_wrong
train__c07__user22__6-2-1,user22,2,7,23,6,False,False,both_wrong
train__c07__user22__6-2-2,user22,2,7,19,7,False,True,d2_only
train__c07__user22__6-2-3,user22,2,7,23,23,False,False,both_wrong
train__c07__user2__1-2-1,user2,1,7,8,7,False,True,d2_only
train__c07__user2__1-2-2,user2,1,7,8,7,False,True,d2_only
train__c07__user2__1-2-3,user2,1,7,7,8,True,False,c1_only
