sample_id,user_id,class_id,action_name,prediction_b2,prediction_supcon,correct_b2,correct_supcon,rescued,harmed
train__c04__user4__1-1-2,user4,4,Wipe_hands,2,38,False,False,False,False
train__c04__user4__1-1-3,user4,4,Wipe_hands,1,2,False,False,False,False
train__c04__user17__1-1-1,user17,4,Wipe_hands,4,4,True,True,False,False
train__c04__user17__1-1-2,user17,4,Wipe_hands,4,4,True,True,False,False
train__c04__user17__1-1-3,user17,4,Wipe_hands,4,4,True,True,False,False
train__c04__user17__7-2-1,user17,4,Wipe_hands,11,11,False,False,False,False
train__c04__user17__7-2-2,user17,4,Wipe_hands,11,11,False,False,False,False
train__c04__user17__7-2-3,user17,4,Wipe_hands,14,14,False,False,False,False
train__c04__user23__1-1-1,user23,4,Wipe_hands,4,38,True,False,False,True
train__c04__user23__1-1-2,user23,4,Wipe_hands,4,38,True,False,False,True
train__c04__user23__1-1-3,user23,4,Wipe_hands,4,4,True,True,False,False
train__c04__user24__6-2-1,user24,4,Wipe_hands,4,38,True,False,False,True
train__c04__user24__6-2-2,user24,4,Wipe_hands,4,38,True,False,False,True
train__c04__user24__6-2-3,user24,4,Wipe_hands,4,38,True,False,False,True
train__c05__user4__5-2-1,user4,5,Put_on_clothes,5,5,True,True,False,False
train__c05__user4__5-2-2,user4,5,Put_on_clothes,5,5,True,True,False,False
train__c05__user4__5-2-3,user4,5,Put_on_clothes,36,5,False,True,True,False
train__c05__user17__1-1-1,user17,5,Put_on_clothes,5,5,True,True,False,False
train__c05__user17__1-1-2,user17,5,Put_on_clothes,5,31,True,False,False,True
train__c05__user17__1-1-3,user17,5,Put_on_clothes,31,2,False,False,False,False
train__c05__user17__6-1-1,user17,5,Put_on_clothes,31,31,False,False,False,False
train__c05__user17__6-1-2,user17,5,Put_on_clothes,31,5,False,True,True,False
train__c05__user17__6-1-3,user17,5,Put_on_clothes,31,5,False,True,True,False
train__c05__user23__4-3-1,user23,5,Put_on_clothes,3,3,False,False,False,False
train__c05__user23__4-3-2,user23,5,Put_on_clothes,3,39,False,False,False,False
train__c05__user23__4-3-3,user23,5,Put_on_clothes,5,29,True,False,False,True
train__c05__user23__5-2-1,user23,5,Put_on_clothes,5,5,True,True,False,False
train__c05__user23__5-2-2,user23,5,Put_on_clothes,5,5,True,True,False,False
train__c05__user23__5-2-3,user23,5,Put_on_clothes,5,3,True,False,False,True
train__c06__user4__2-1-1,user4,6,Drink_water,6,6,True,True,False,False
train__c06__user4__2-1-2,user4,6,Drink_water,6,6,True,True,False,False
train__c06__user4__2-1-3,user4,6,Drink_water,6,6,True,True,False,False
train__c06__user4__4-2-1,user4,6,Drink_water,39,39,False,False,False,False
train__c06__user4__4-2-2,user4,6,Drink_water,37,39,False,False,False,False
train__c06__user4__4-2-3,user4,6,Drink_water,37,37,False,False,False,False
train__c06__user23__5-3-3,user23,6,Drink_water,39,35,False,False,False,False
train__c06__user24__2-1-1,user24,6,Drink_water,6,6,True,True,False,False
train__c06__user24__2-1-2,user24,6,Drink_water,6,6,True,True,False,False
train__c06__user24__2-1-3,user24,6,Drink_water,6,24,True,False,False,True
train__c06__user24__4-2-1,user24,6,Drink_water,6,6,True,True,False,False
train__c06__user24__4-2-2,user24,6,Drink_water,37,39,False,False,False,False
train__c06__user24__4-2-3,user24,6,Drink_water,6,39,True,False,False,True
train__c07__user4__1-2-2,user4,7,Eat_food,10,15,False,False,False,False
train__c07__user4__1-2-3,user4,7,Eat_food,11,38,False,False,False,False
train__c07__user4__2-1-1,user4,7,Eat_food,8,24,False,False,False,False
train__c07__user4__2-1-2,user4,7,Eat_food,7,6,True,False,False,True
train__c07__user4__2-1-3,user4,7,Eat_food,7,6,True,False,False,True
train__c07__user4__5-1-1,user4,7,Eat_food,10,39,False,False,False,False
train__c07__user4__5-1-2,user4,7,Eat_food,37,39,False,False,False,False
train__c07__user4__5-1-3,user4,7,Eat_food,6,37,False,False,False,False
train__c07__user4__7-2-1,user4,7,Eat_food,23,39,False,False,False,False
train__c07__user4__7-2-2,user4,7,Eat_food,23,29,False,False,False,False
train__c07__user4__7-2-3,user4,7,Eat_food,23,23,False,False,False,False
train__c07__user17__1-2-1,user17,7,Eat_food,18,7,False,True,True,False
train__c07__user17__1-2-2,user17,7,Eat_food,7,18,True,False,False,True
train__c07__user17__1-2-3,user17,7,Eat_food,34,7,False,True,True,False
train__c07__user17__2-2-1,user17,7,Eat_food,7,24,True,False,False,True
train__c07__user17__2-2-2,user17,7,Eat_food,24,24,False,False,False,False
train__c07__user17__2-2-3,user17,7,Eat_food,24,24,False,False,False,False
train__c07__user17__3-2-1,user17,7,Eat_food,11,11,False,False,False,False
train__c07__user17__3-2-2,user17,7,Eat_food,11,37,False,False,False,False
train__c07__user17__3-2-3,user17,7,Eat_food,11,37,False,False,False,False
train__c07__user17__5-2-1,user17,7,Eat_food,37,6,False,False,False,False
train__c07__user17__5-2-2,user17,7,Eat_food,6,6,False,False,False,False
train__c07__user17__5-2-3,user17,7,Eat_food,9,9,False,False,False,False
train__c07__user17__7-2-1,user17,7,Eat_food,7,6,True,False,False,True
train__c07__user17__7-2-2,user17,7,Eat_food,7,7,True,True,False,False
train__c07__user17__7-2-3,user17,7,Eat_food,11,11,False,False,False,False
train__c07__user23__2-3-1,user23,7,Eat_food,11,6,False,False,False,False
train__c07__user23__2-3-2,user23,7,Eat_food,11,7,False,True,True,False
train__c07__user23__2-3-3,user23,7,Eat_food,6,7,False,True,True,False
train__c07__user24__2-1-1,user24,7,Eat_food,19,34,False,False,False,False
train__c07__user24__2-1-2,user24,7,Eat_food,19,19,False,False,False,False
train__c07__user24__2-1-3,user24,7,Eat_food,19,34,False,False,False,False
train__c08__user4__1-2-1,user4,8,Take_and_use_tableware,24,11,False,False,False,False
train__c08__user4__1-2-2,user4,8,Take_and_use_tableware,10,15,False,False,False,False
train__c08__user4__2-1-1,user4,8,Take_and_use_tableware,39,30,False,False,False,False
train__c08__user4__2-1-2,user4,8,Take_and_use_tableware,32,32,False,False,False,False
train__c08__user4__2-1-3,user4,8,Take_and_use_tableware,32,32,False,False,False,False
train__c08__user17__1-2-1,user17,8,Take_and_use_tableware,18,7,False,False,False,False
train__c08__user17__1-2-2,user17,8,Take_and_use_tableware,7,18,False,False,False,False
train__c08__user17__1-2-3,user17,8,Take_and_use_tableware,34,7,False,False,False,False
train__c08__user17__2-1-1,user17,8,Take_and_use_tableware,8,8,True,True,False,False
train__c08__user17__2-1-2,user17,8,Take_and_use_tableware,8,8,True,True,False,False
train__c08__user17__2-1-3,user17,8,Take_and_use_tableware,8,8,True,True,False,False
train__c08__user17__3-2-1,user17,8,Take_and_use_tableware,14,14,False,False,False,False
train__c08__user17__3-2-2,user17,8,Take_and_use_tableware,11,11,False,False,False,False
train__c08__user17__3-2-3,user17,8,Take_and_use_tableware,11,11,False,False,False,False
train__c09__user4__1-2-1,user4,9,Pour_drinks,9,8,True,False,False,True
train__c09__user4__1-2-2,user4,9,Pour_drinks,8,9,False,True,True,False
train__c09__user4__1-2-3,user4,9,Pour_drinks,9,9,True,True,False,False
train__c09__user4__6-1-1,user4,9,Pour_drinks,9,9,True,True,False,False
train__c09__user4__6-1-2,user4,9,Pour_drinks,8,9,False,True,True,False
train__c09__user4__6-1-3,user4,9,Pour_drinks,9,10,True,False,False,True
train__c09__user17__1-2-1,user17,9,Pour_drinks,8,17,False,False,False,False
train__c09__user17__1-2-2,user17,9,Pour_drinks,8,10,False,False,False,False
train__c09__user17__1-2-3,user17,9,Pour_drinks,10,17,False,False,False,False
train__c09__user17__2-1-1,user17,9,Pour_drinks,9,10,True,False,False,True
train__c09__user17__2-1-2,user17,9,Pour_drinks,14,14,False,False,False,False
train__c09__user17__2-1-3,user17,9,Pour_drinks,9,10,True,False,False,True
train__c09__user17__5-2-1,user17,9,Pour_drinks,10,11,False,False,False,False
train__c09__user17__5-2-2,user17,9,Pour_drinks,9,8,True,False,False,True
train__c09__user17__5-2-3,user17,9,Pour_drinks,9,9,True,True,False,False
train__c09__user23__5-3-3,user23,9,Pour_drinks,20,13,False,False,False,False
train__c10__user4__1-2-1,user4,10,Stir_drinks,8,8,False,False,False,False
train__c10__user4__1-2-2,user4,10,Stir_drinks,14,4,False,False,False,False
train__c10__user4__1-2-3,user4,10,Stir_drinks,14,4,False,False,False,False
train__c10__user4__5-1-1,user4,10,Stir_drinks,10,8,True,False,False,True
train__c10__user4__5-1-2,user4,10,Stir_drinks,10,8,True,False,False,True
train__c10__user4__5-1-3,user4,10,Stir_drinks,10,37,True,False,False,True
train__c10__user17__2-1-1,user17,10,Stir_drinks,9,9,False,False,False,False
train__c10__user17__2-1-2,user17,10,Stir_drinks,14,11,False,False,False,False
train__c10__user17__2-1-3,user17,10,Stir_drinks,11,10,False,True,True,False
train__c10__user17__2-2-1,user17,10,Stir_drinks,8,10,False,True,True,False
train__c10__user17__2-2-2,user17,10,Stir_drinks,8,10,False,True,True,False
train__c10__user17__2-2-3,user17,10,Stir_drinks,8,8,False,False,False,False
train__c10__user17__5-2-1,user17,10,Stir_drinks,11,10,False,True,True,False
train__c10__user17__5-2-2,user17,10,Stir_drinks,11,10,False,True,True,False
train__c10__user17__5-2-3,user17,10,Stir_drinks,11,11,False,False,False,False
train__c10__user23__5-3-3,user23,10,Stir_drinks,4,15,False,False,False,False
train__c11__user4__1-2-1,user4,11,Peel_fruits,7,8,False,False,False,False
train__c11__user4__1-2-2,user4,11,Peel_fruits,38,4,False,False,False,False
train__c11__user4__1-2-3,user4,11,Peel_fruits,9,9,False,False,False,False
train__c11__user4__2-1-1,user4,11,Peel_fruits,10,20,False,False,False,False
train__c11__user4__2-1-2,user4,11,Peel_fruits,6,6,False,False,False,False
train__c11__user4__2-1-3,user4,11,Peel_fruits,10,6,False,False,False,False
train__c11__user4__6-1-1,user4,11,Peel_fruits,21,26,False,False,False,False
train__c11__user4__6-1-2,user4,11,Peel_fruits,11,26,True,False,False,True
train__c11__user4__6-1-3,user4,11,Peel_fruits,11,26,True,False,False,True
train__c11__user4__7-1-1,user4,11,Peel_fruits,37,38,False,False,False,False
train__c11__user4__7-1-2,user4,11,Peel_fruits,11,31,True,False,False,True
train__c11__user4__7-1-3,user4,11,Peel_fruits,11,37,True,False,False,True
train__c11__user17__7-2-1,user17,11,Peel_fruits,10,11,False,True,True,False
train__c11__user17__7-2-2,user17,11,Peel_fruits,14,11,False,True,True,False
train__c11__user17__7-2-3,user17,11,Peel_fruits,14,10,False,False,False,False
train__c11__user24__4-2-1,user24,11,Peel_fruits,11,24,True,False,False,True
train__c11__user24__4-2-2,user24,11,Peel_fruits,14,24,False,False,False,False
train__c11__user24__4-2-3,user24,11,Peel_fruits,14,24,False,False,False,False
train__c12__user4__2-2-1,user4,12,Sweep_the_floor,39,12,False,True,True,False
train__c12__user4__2-2-2,user4,12,Sweep_the_floor,12,12,True,True,False,False
train__c12__user4__2-2-3,user4,12,Sweep_the_floor,39,31,False,False,False,False
train__c12__user17__3-1-1,user17,12,Sweep_the_floor,12,12,True,True,False,False
train__c12__user17__3-1-2,user17,12,Sweep_the_floor,12,12,True,True,False,False
train__c12__user17__3-1-3,user17,12,Sweep_the_floor,12,12,True,True,False,False
train__c12__user23__3-2-1,user23,12,Sweep_the_floor,13,13,False,False,False,False
train__c12__user23__3-2-2,user23,12,Sweep_the_floor,13,12,False,True,True,False
train__c12__user23__3-2-3,user23,12,Sweep_the_floor,13,13,False,False,False,False
train__c13__user4__2-2-1,user4,13,Mop_the_floor,38,39,False,False,False,False
train__c13__user4__2-2-2,user4,13,Mop_the_floor,39,31,False,False,False,False
train__c13__user4__2-2-3,user4,13,Mop_the_floor,39,39,False,False,False,False
train__c13__user17__3-1-1,user17,13,Mop_the_floor,12,12,False,False,False,False
train__c13__user17__3-1-2,user17,13,Mop_the_floor,12,12,False,False,False,False
train__c13__user17__3-1-3,user17,13,Mop_the_floor,12,12,False,False,False,False
train__c14__user4__4-2-1,user4,14,Wipe_bowls,11,11,False,False,False,False
train__c14__user4__4-2-2,user4,14,Wipe_bowls,7,39,False,False,False,False
train__c14__user4__4-2-3,user4,14,Wipe_bowls,14,11,True,False,False,True
train__c14__user17__3-2-1,user17,14,Wipe_bowls,14,14,True,True,False,False
train__c14__user17__3-2-2,user17,14,Wipe_bowls,11,11,False,False,False,False
train__c14__user17__3-2-3,user17,14,Wipe_bowls,11,11,False,False,False,False
train__c15__user17__2-2-1,user17,15,Wipe_windows_and_tables,13,12,False,False,False,False
train__c15__user17__2-2-2,user17,15,Wipe_windows_and_tables,13,12,False,False,False,False
train__c15__user17__2-2-3,user17,15,Wipe_windows_and_tables,13,12,False,False,False,False
train__c15__user17__3-3-1,user17,15,Wipe_windows_and_tables,7,12,False,False,False,False
train__c15__user17__3-3-2,user17,15,Wipe_windows_and_tables,36,15,False,True,True,False
train__c15__user17__3-3-3,user17,15,Wipe_windows_and_tables,18,15,False,True,True,False
train__c15__user23__3-1-1,user23,15,Wipe_windows_and_tables,5,36,False,False,False,False
train__c15__user23__3-1-2,user23,15,Wipe_windows_and_tables,36,36,False,False,False,False
train__c15__user23__3-1-3,user23,15,Wipe_windows_and_tables,4,31,False,False,False,False
train__c16__user17__6-1-1,user17,16,Fold_clothes,16,16,True,True,False,False
train__c16__user17__6-1-2,user17,16,Fold_clothes,29,35,False,False,False,False
train__c16__user17__6-1-3,user17,16,Fold_clothes,16,16,True,True,False,False
train__c16__user23__4-3-1,user23,16,Fold_clothes,5,38,False,False,False,False
train__c16__user23__4-3-2,user23,16,Fold_clothes,3,20,False,False,False,False
train__c16__user23__4-3-3,user23,16,Fold_clothes,22,39,False,False,False,False
train__c16__user24__4-1-1,user24,16,Fold_clothes,3,12,False,False,False,False
train__c16__user24__4-1-2,user24,16,Fold_clothes,39,39,False,False,False,False
train__c16__user24__4-1-3,user24,16,Fold_clothes,3,3,False,False,False,False
train__c17__user4__4-1-1,user4,17,Tap_the_keyboard,17,17,True,True,False,False
train__c17__user4__4-1-2,user4,17,Tap_the_keyboard,17,17,True,True,False,False
train__c17__user4__4-1-3,user4,17,Tap_the_keyboard,17,17,True,True,False,False
train__c17__user4__5-2-1,user4,17,Tap_the_keyboard,19,20,False,False,False,False
train__c17__user4__5-2-2,user4,17,Tap_the_keyboard,8,17,False,True,True,False
train__c17__user4__5-2-3,user4,17,Tap_the_keyboard,17,17,True,True,False,False
train__c17__user17__4-1-1,user17,17,Tap_the_keyboard,17,17,True,True,False,False
train__c17__user17__4-1-2,user17,17,Tap_the_keyboard,17,21,True,False,False,True
train__c17__user17__4-1-3,user17,17,Tap_the_keyboard,17,17,True,True,False,False
train__c17__user23__5-3-2,user23,17,Tap_the_keyboard,24,36,False,False,False,False
train__c17__user23__5-3-3,user23,17,Tap_the_keyboard,39,3,False,False,False,False
train__c17__user24__1-2-1,user24,17,Tap_the_keyboard,22,21,False,False,False,False
train__c17__user24__1-2-2,user24,17,Tap_the_keyboard,22,21,False,False,False,False
train__c17__user24__1-2-3,user24,17,Tap_the_keyboard,22,21,False,False,False,False
train__c17__user24__7-2-1,user24,17,Tap_the_keyboard,18,19,False,False,False,False
train__c17__user24__7-2-2,user24,17,Tap_the_keyboard,18,34,False,False,False,False
train__c17__user24__7-2-3,user24,17,Tap_the_keyboard,18,32,False,False,False,False
train__c18__user4__4-1-1,user4,18,Write,36,20,False,False,False,False
train__c18__user4__4-1-2,user4,18,Write,17,17,False,False,False,False
train__c18__user4__4-1-3,user4,18,Write,17,17,False,False,False,False
train__c18__user23__4-1-1,user23,18,Write,24,18,False,True,True,False
train__c18__user23__4-1-2,user23,18,Write,21,21,False,False,False,False
train__c18__user23__4-1-3,user23,18,Write,22,22,False,False,False,False
train__c18__user23__7-1-1,user23,18,Write,18,7,True,False,False,True
train__c18__user23__7-1-3,user23,18,Write,18,20,True,False,False,True
train__c18__user24__1-2-1,user24,18,Write,25,21,False,False,False,False
train__c18__user24__1-2-2,user24,18,Write,22,21,False,False,False,False
train__c18__user24__1-2-3,user24,18,Write,22,21,False,False,False,False
train__c19__user4__6-1-2,user4,19,Make_a_phone_call,11,11,False,False,False,False
train__c19__user4__6-1-3,user4,19,Make_a_phone_call,6,7,False,False,False,False
train__c19__user23__4-2-1,user23,19,Make_a_phone_call,5,39,False,False,False,False
train__c19__user23__4-2-2,user23,19,Make_a_phone_call,2,3,False,False,False,False
train__c19__user23__4-2-3,user23,19,Make_a_phone_call,39,20,False,False,False,False
train__c19__user24__3-2-1,user24,19,Make_a_phone_call,19,34,True,False,False,True
train__c19__user24__3-2-2,user24,19,Make_a_phone_call,19,23,True,False,False,True
train__c19__user24__3-2-3,user24,19,Make_a_phone_call,19,23,True,False,False,True
train__c20__user4__5-2-1,user4,20,Check_the_time,31,31,False,False,False,False
train__c20__user4__5-2-2,user4,20,Check_the_time,20,31,True,False,False,True
train__c20__user4__5-2-3,user4,20,Check_the_time,38,31,False,False,False,False
train__c20__user17__1-2-1,user17,20,Check_the_time,34,18,False,False,False,False
train__c20__user17__1-2-2,user17,20,Check_the_time,24,20,False,True,True,False
train__c20__user17__1-2-3,user17,20,Check_the_time,20,20,True,True,False,False
train__c20__user17__4-1-1,user17,20,Check_the_time,20,20,True,True,False,False
train__c20__user17__4-1-2,user17,20,Check_the_time,17,21,False,False,False,False
train__c20__user17__4-1-3,user17,20,Check_the_time,4,4,False,False,False,False
train__c20__user24__7-2-1,user24,20,Check_the_time,24,20,False,True,True,False
train__c20__user24__7-2-2,user24,20,Check_the_time,23,20,False,True,True,False
train__c20__user24__7-2-3,user24,20,Check_the_time,23,20,False,True,True,False
train__c21__user4__4-1-1,user4,21,Read_documents,10,20,False,False,False,False
train__c21__user4__4-1-2,user4,21,Read_documents,24,20,False,False,False,False
train__c21__user4__4-1-3,user4,21,Read_documents,20,20,False,False,False,False
train__c21__user17__4-1-1,user17,21,Read_documents,22,22,False,False,False,False
train__c21__user17__4-1-2,user17,21,Read_documents,22,19,False,False,False,False
train__c21__user17__4-1-3,user17,21,Read_documents,22,21,False,True,True,False
train__c21__user23__4-1-1,user23,21,Read_documents,22,20,False,False,False,False
train__c21__user23__4-1-2,user23,21,Read_documents,21,21,True,True,False,False
train__c21__user23__4-1-3,user23,21,Read_documents,17,21,False,True,True,False
train__c21__user24__1-2-1,user24,21,Read_documents,22,21,False,True,True,False
train__c21__user24__1-2-2,user24,21,Read_documents,22,21,False,True,True,False
train__c21__user24__1-2-3,user24,21,Read_documents,21,21,True,True,False,False
train__c21__user24__7-2-1,user24,21,Read_documents,24,20,False,False,False,False
train__c21__user24__7-2-2,user24,21,Read_documents,26,22,False,False,False,False
train__c21__user24__7-2-3,user24,21,Read_documents,26,38,False,False,False,False
train__c22__user4__4-1-1,user4,22,Turn_pages,24,24,False,False,False,False
train__c22__user4__4-1-2,user4,22,Turn_pages,22,24,True,False,False,True
train__c22__user4__4-1-3,user4,22,Turn_pages,22,22,True,True,False,False
train__c22__user24__1-2-1,user24,22,Turn_pages,22,21,True,False,False,True
train__c22__user24__1-2-2,user24,22,Turn_pages,22,21,True,False,False,True
train__c22__user24__1-2-3,user24,22,Turn_pages,22,21,True,False,False,True
train__c22__user24__7-2-1,user24,22,Turn_pages,24,20,False,False,False,False
train__c22__user24__7-2-2,user24,22,Turn_pages,26,21,False,False,False,False
train__c22__user24__7-2-3,user24,22,Turn_pages,26,38,False,False,False,False
train__c23__user17__6-2-1,user17,23,Listen_to_music_with_headphones,39,39,False,False,False,False
train__c23__user17__6-2-2,user17,23,Listen_to_music_with_headphones,28,13,False,False,False,False
train__c23__user17__6-2-3,user17,23,Listen_to_music_with_headphones,12,28,False,False,False,False
train__c23__user17__7-1-1,user17,23,Listen_to_music_with_headphones,23,23,True,True,False,False
train__c23__user17__7-1-2,user17,23,Listen_to_music_with_headphones,23,23,True,True,False,False
train__c23__user17__7-1-3,user17,23,Listen_to_music_with_headphones,17,21,False,False,False,False
train__c23__user23__4-2-1,user23,23,Listen_to_music_with_headphones,39,27,False,False,False,False
train__c23__user23__4-2-2,user23,23,Listen_to_music_with_headphones,27,39,False,False,False,False
train__c23__user23__4-2-3,user23,23,Listen_to_music_with_headphones,2,39,False,False,False,False
train__c23__user23__5-1-1,user23,23,Listen_to_music_with_headphones,23,23,True,True,False,False
train__c23__user23__5-1-2,user23,23,Listen_to_music_with_headphones,23,23,True,True,False,False
train__c23__user24__5-1-1,user24,23,Listen_to_music_with_headphones,23,27,True,False,False,True
train__c23__user24__5-1-2,user24,23,Listen_to_music_with_headphones,23,23,True,True,False,False
train__c23__user24__5-1-3,user24,23,Listen_to_music_with_headphones,23,23,True,True,False,False
train__c23__user24__7-2-1,user24,23,Listen_to_music_with_headphones,23,23,True,True,False,False
train__c23__user24__7-2-2,user24,23,Listen_to_music_with_headphones,23,23,True,True,False,False
train__c23__user24__7-2-3,user24,23,Listen_to_music_with_headphones,23,23,True,True,False,False
train__c24__user4__3-2-1,user4,24,Use_a_mobile_phone,21,24,False,True,True,False
train__c24__user4__3-2-2,user4,24,Use_a_mobile_phone,11,24,False,True,True,False
train__c24__user4__3-2-3,user4,24,Use_a_mobile_phone,11,26,False,False,False,False
train__c24__user4__6-1-1,user4,24,Use_a_mobile_phone,22,26,False,False,False,False
train__c24__user4__6-1-2,user4,24,Use_a_mobile_phone,10,10,False,False,False,False
train__c24__user4__6-1-3,user4,24,Use_a_mobile_phone,11,26,False,False,False,False
train__c24__user17__1-2-3,user17,24,Use_a_mobile_phone,26,37,False,False,False,False
train__c24__user23__7-3-1,user23,24,Use_a_mobile_phone,24,29,True,False,False,True
train__c24__user23__7-3-2,user23,24,Use_a_mobile_phone,24,29,True,False,False,True
train__c24__user23__7-3-3,user23,24,Use_a_mobile_phone,19,23,False,False,False,False
train__c24__user24__4-1-1,user24,24,Use_a_mobile_phone,25,21,False,False,False,False
train__c24__user24__4-1-2,user24,24,Use_a_mobile_phone,22,26,False,False,False,False
train__c24__user24__4-1-3,user24,24,Use_a_mobile_phone,26,22,False,False,False,False
train__c24__user24__5-1-1,user24,24,Use_a_mobile_phone,24,23,True,False,False,True
train__c24__user24__5-1-2,user24,24,Use_a_mobile_phone,24,7,True,False,False,True
train__c24__user24__5-1-3,user24,24,Use_a_mobile_phone,23,20,False,False,False,False
train__c25__user24__2-2-1,user24,25,Watch_TV,38,20,False,False,False,False
train__c25__user24__2-2-2,user24,25,Watch_TV,25,20,True,False,False,True
train__c25__user24__2-2-3,user24,25,Watch_TV,25,38,True,False,False,True
train__c25__user24__5-3-1,user24,25,Watch_TV,19,7,False,False,False,False
train__c25__user24__5-3-2,user24,25,Watch_TV,23,7,False,False,False,False
train__c25__user24__5-3-3,user24,25,Watch_TV,23,23,False,False,False,False
train__c26__user23__5-1-1,user23,26,Play_games,25,23,False,False,False,False
train__c26__user23__5-1-2,user23,26,Play_games,24,20,False,False,False,False
train__c26__user23__5-1-3,user23,26,Play_games,24,19,False,False,False,False
train__c26__user24__4-1-1,user24,26,Play_games,25,21,False,False,False,False
train__c26__user24__4-1-2,user24,26,Play_games,22,26,False,True,True,False
train__c26__user24__4-1-3,user24,26,Play_games,24,24,False,False,False,False
train__c26__user24__4-3-1,user24,26,Play_games,26,21,True,False,False,True
train__c26__user24__4-3-2,user24,26,Play_games,22,26,False,True,True,False
train__c26__user24__4-3-3,user24,26,Play_games,26,26,True,True,False,False
train__c26__user24__5-3-1,user24,26,Play_games,24,20,False,False,False,False
train__c26__user24__5-3-2,user24,26,Play_games,24,20,False,False,False,False
train__c26__user24__5-3-3,user24,26,Play_games,24,20,False,False,False,False
train__c27__user4__3-2-1,user4,27,Take_a_selfie,20,37,False,False,False,False
train__c27__user4__3-2-2,user4,27,Take_a_selfie,31,37,False,False,False,False
train__c27__user4__3-2-3,user4,27,Take_a_selfie,39,39,False,False,False,False
train__c27__user17__1-2-1,user17,27,Take_a_selfie,24,37,False,False,False,False
train__c27__user17__1-2-2,user17,27,Take_a_selfie,10,37,False,False,False,False
train__c27__user17__1-2-3,user17,27,Take_a_selfie,26,37,False,False,False,False
train__c27__user23__3-2-2,user23,27,Take_a_selfie,6,6,False,False,False,False
train__c27__user23__3-2-3,user23,27,Take_a_selfie,12,12,False,False,False,False
