sample_id,user_id,fold,label,c1_prediction,t2_prediction,c1_correct,t2_correct,retained_length,length_bucket,outcome
train__c01__user16__1-1-1,user16,1,1,1,1,True,True,32,32-63,both_correct
train__c01__user16__1-1-2,user16,1,1,1,1,True,True,58,32-63,both_correct
train__c01__user16__1-1-3,user16,1,1,1,1,True,True,19,16-31,both_correct
train__c01__user18__1-1-1,user18,0,1,7,7,False,False,41,32-63,both_wrong
train__c01__user18__1-1-2,user18,0,1,7,7,False,False,35,32-63,both_wrong
train__c01__user18__1-1-3,user18,0,1,7,7,False,False,31,16-31,both_wrong
train__c01__user18__7-1-1,user18,0,1,7,7,False,False,23,16-31,both_wrong
train__c01__user18__7-1-2,user18,0,1,7,7,False,False,13,<=15,both_wrong
train__c01__user18__7-1-3,user18,0,1,7,6,False,False,5,<=15,both_wrong
train__c01__user19__1-1-1,user19,2,1,2,2,False,False,18,16-31,both_wrong
train__c01__user19__1-1-2,user19,2,1,1,1,True,True,7,<=15,both_correct
train__c01__user19__1-1-3,user19,2,1,1,1,True,True,14,<=15,both_correct
train__c01__user20__4-2-1,user20,0,1,7,1,False,True,22,16-31,t2_only
train__c01__user20__4-2-2,user20,0,1,6,6,False,False,12,<=15,both_wrong
train__c01__user20__4-2-3,user20,0,1,6,2,False,False,20,16-31,both_wrong
train__c01__user21__4-2-1,user21,0,1,8,39,False,False,15,<=15,both_wrong
train__c01__user21__4-2-2,user21,0,1,5,39,False,False,11,<=15,both_wrong
train__c01__user21__4-2-3,user21,0,1,7,7,False,False,10,<=15,both_wrong
train__c01__user22__1-1-2,user22,2,1,0,1,False,True,16,16-31,t2_only
train__c01__user22__1-1-3,user22,2,1,0,0,False,False,8,<=15,both_wrong
train__c01__user22__2-2-1,user22,2,1,0,0,False,False,18,16-31,both_wrong
train__c01__user22__2-2-2,user22,2,1,0,0,False,False,10,<=15,both_wrong
train__c01__user22__2-2-3,user22,2,1,0,0,False,False,7,<=15,both_wrong
train__c01__user6__1-1-1,user6,2,1,8,8,False,False,71,>=64,both_wrong
train__c01__user6__1-1-2,user6,2,1,8,8,False,False,75,>=64,both_wrong
train__c01__user6__1-1-3,user6,2,1,0,0,False,False,22,16-31,both_wrong
train__c01__user7__1-1-1,user7,2,1,0,0,False,False,36,32-63,both_wrong
train__c01__user7__1-1-2,user7,2,1,0,0,False,False,18,16-31,both_wrong
train__c01__user7__1-1-3,user7,2,1,0,0,False,False,21,16-31,both_wrong
train__c01__user8__1-1-1,user8,1,1,7,7,False,False,23,16-31,both_wrong
train__c01__user8__1-1-2,user8,1,1,1,8,True,False,36,32-63,c1_only
train__c01__user8__1-1-3,user8,1,1,6,6,False,False,40,32-63,both_wrong
train__c01__user8__7-1-1,user8,1,1,10,10,False,False,13,<=15,both_wrong
train__c01__user8__7-1-2,user8,1,1,6,6,False,False,13,<=15,both_wrong
train__c01__user8__7-1-3,user8,1,1,1,11,True,False,9,<=15,c1_only
train__c01__user9__1-1-1,user9,0,1,8,8,False,False,22,16-31,both_wrong
train__c02__user16__2-2-1,user16,1,2,1,1,False,False,32,32-63,both_wrong
train__c02__user16__2-2-2,user16,1,2,6,6,False,False,45,32-63,both_wrong
train__c02__user16__2-2-3,user16,1,2,2,6,True,False,17,16-31,c1_only
train__c02__user18__7-1-1,user18,0,2,8,8,False,False,24,16-31,both_wrong
train__c02__user18__7-1-2,user18,0,2,31,5,False,False,13,<=15,both_wrong
train__c02__user18__7-1-3,user18,0,2,5,37,False,False,6,<=15,both_wrong
train__c02__user19__1-1-1,user19,2,2,2,2,True,True,11,<=15,both_correct
train__c02__user19__1-1-2,user19,2,2,2,2,True,True,10,<=15,both_correct
train__c02__user19__1-1-3,user19,2,2,2,2,True,True,13,<=15,both_correct
train__c02__user1__1-1-1,user1,1,2,23,23,False,False,56,32-63,both_wrong
train__c02__user1__1-1-2,user1,1,2,23,23,False,False,53,32-63,both_wrong
train__c02__user1__1-1-3,user1,1,2,5,23,False,False,16,16-31,both_wrong
train__c02__user20__1-1-1,user20,0,2,6,2,False,True,25,16-31,t2_only
train__c02__user20__1-1-2,user20,0,2,31,31,False,False,20,16-31,both_wrong
train__c02__user20__1-1-3,user20,0,2,6,2,False,True,25,16-31,t2_only
train__c02__user20__4-2-1,user20,0,2,6,31,False,False,13,<=15,both_wrong
train__c02__user20__4-2-2,user20,0,2,31,31,False,False,16,16-31,both_wrong
train__c02__user20__4-2-3,user20,0,2,6,31,False,False,18,16-31,both_wrong
train__c02__user21__4-2-1,user21,0,2,7,7,False,False,16,16-31,both_wrong
train__c02__user21__4-2-2,user21,0,2,8,36,False,False,11,<=15,both_wrong
train__c02__user21__4-2-3,user21,0,2,8,1,False,False,7,<=15,both_wrong
train__c02__user22__1-2-1,user22,2,2,7,7,False,False,17,16-31,both_wrong
train__c02__user22__1-2-2,user22,2,2,23,23,False,False,6,<=15,both_wrong
train__c02__user22__1-2-3,user22,2,2,20,20,False,False,7,<=15,both_wrong
train__c02__user22__2-2-1,user22,2,2,6,6,False,False,13,<=15,both_wrong
train__c02__user22__2-2-2,user22,2,2,7,7,False,False,17,16-31,both_wrong
train__c02__user22__2-2-3,user22,2,2,7,7,False,False,8,<=15,both_wrong
train__c02__user3__1-2-1,user3,0,2,6,6,False,False,12,<=15,both_wrong
train__c02__user3__1-2-3,user3,0,2,6,2,False,True,5,<=15,t2_only
train__c02__user5__1-1-1,user5,2,2,7,7,False,False,66,>=64,both_wrong
train__c02__user5__1-1-2,user5,2,2,7,7,False,False,79,>=64,both_wrong
train__c02__user5__1-1-3,user5,2,2,7,7,False,False,24,16-31,both_wrong
train__c02__user5__7-1-1,user5,2,2,23,23,False,False,70,>=64,both_wrong
train__c02__user5__7-1-2,user5,2,2,23,23,False,False,62,32-63,both_wrong
train__c02__user5__7-1-3,user5,2,2,23,23,False,False,59,32-63,both_wrong
train__c02__user6__2-2-1,user6,2,2,1,1,False,False,24,16-31,both_wrong
train__c02__user6__2-2-2,user6,2,2,0,1,False,False,37,32-63,both_wrong
train__c02__user7__1-1-1,user7,2,2,7,7,False,False,36,32-63,both_wrong
train__c02__user7__1-1-2,user7,2,2,2,2,True,True,12,<=15,both_correct
train__c02__user7__1-1-3,user7,2,2,6,7,False,False,27,16-31,both_wrong
train__c02__user8__7-1-2,user8,1,2,2,2,True,True,7,<=15,both_correct
train__c02__user8__7-1-3,user8,1,2,6,6,False,False,6,<=15,both_wrong
train__c02__user9__1-1-1,user9,0,2,8,38,False,False,19,16-31,both_wrong
train__c02__user9__1-1-2,user9,0,2,6,6,False,False,13,<=15,both_wrong
train__c02__user9__1-1-3,user9,0,2,8,8,False,False,10,<=15,both_wrong
train__c03__user18__6-1-1,user18,0,3,36,36,False,False,35,32-63,both_wrong
train__c03__user18__6-1-2,user18,0,3,36,36,False,False,8,<=15,both_wrong
train__c03__user18__6-1-3,user18,0,3,36,36,False,False,22,16-31,both_wrong
train__c03__user18__7-1-1,user18,0,3,31,31,False,False,16,16-31,both_wrong
train__c03__user18__7-1-2,user18,0,3,31,31,False,False,10,<=15,both_wrong
train__c03__user18__7-1-3,user18,0,3,31,31,False,False,9,<=15,both_wrong
train__c03__user19__3-1-1,user19,2,3,21,21,False,False,49,32-63,both_wrong
train__c03__user19__3-1-2,user19,2,3,31,31,False,False,35,32-63,both_wrong
train__c03__user19__3-1-3,user19,2,3,3,3,True,True,20,16-31,both_correct
train__c03__user22__6-1-1,user22,2,3,3,3,True,True,32,32-63,both_correct
train__c03__user22__6-1-2,user22,2,3,36,36,False,False,27,16-31,both_wrong
train__c03__user22__6-1-3,user22,2,3,36,36,False,False,18,16-31,both_wrong
train__c03__user22__7-2-1,user22,2,3,12,12,False,False,50,32-63,both_wrong
train__c03__user22__7-2-2,user22,2,3,12,12,False,False,37,32-63,both_wrong
train__c03__user22__7-2-3,user22,2,3,12,31,False,False,11,<=15,both_wrong
train__c03__user7__5-1-1,user7,2,3,20,36,False,False,68,>=64,both_wrong
train__c03__user7__5-1-2,user7,2,3,28,33,False,False,76,>=64,both_wrong
train__c03__user7__5-1-3,user7,2,3,20,23,False,False,40,32-63,both_wrong
train__c03__user7__6-1-1,user7,2,3,28,28,False,False,18,16-31,both_wrong
train__c03__user7__6-1-2,user7,2,3,36,36,False,False,20,16-31,both_wrong
train__c03__user7__6-1-3,user7,2,3,36,36,False,False,18,16-31,both_wrong
train__c03__user8__6-1-1,user8,1,3,36,36,False,False,35,32-63,both_wrong
train__c03__user8__6-1-2,user8,1,3,36,36,False,False,25,16-31,both_wrong
train__c03__user8__6-1-3,user8,1,3,36,36,False,False,34,32-63,both_wrong
train__c03__user8__7-1-1,user8,1,3,36,36,False,False,24,16-31,both_wrong
train__c03__user8__7-1-2,user8,1,3,36,36,False,False,15,<=15,both_wrong
train__c03__user8__7-1-3,user8,1,3,5,5,False,False,10,<=15,both_wrong
train__c03__user9__3-1-1,user9,0,3,33,24,False,False,69,>=64,both_wrong
train__c03__user9__3-1-2,user9,0,3,33,33,False,False,59,32-63,both_wrong
train__c03__user9__3-1-3,user9,0,3,33,27,False,False,28,16-31,both_wrong
train__c04__user16__2-2-1,user16,1,4,4,9,True,False,34,32-63,c1_only
train__c04__user16__2-2-2,user16,1,4,11,11,False,False,31,16-31,both_wrong
train__c04__user16__2-2-3,user16,1,4,4,11,True,False,24,16-31,c1_only
train__c04__user18__1-1-1,user18,0,4,11,9,False,False,40,32-63,both_wrong
train__c04__user18__1-1-2,user18,0,4,9,9,False,False,25,16-31,both_wrong
train__c04__user18__1-1-3,user18,0,4,8,8,False,False,24,16-31,both_wrong
train__c04__user18__7-1-1,user18,0,4,9,9,False,False,20,16-31,both_wrong
train__c04__user18__7-1-2,user18,0,4,11,9,False,False,13,<=15,both_wrong
train__c04__user18__7-1-3,user18,0,4,11,11,False,False,5,<=15,both_wrong
train__c04__user19__1-1-1,user19,2,4,4,4,True,True,21,16-31,both_correct
train__c04__user19__1-1-2,user19,2,4,4,4,True,True,18,16-31,both_correct
train__c04__user19__1-1-3,user19,2,4,4,9,True,False,20,16-31,c1_only
train__c04__user19__5-2-1,user19,2,4,9,9,False,False,35,32-63,both_wrong
train__c04__user19__5-2-2,user19,2,4,9,10,False,False,30,16-31,both_wrong
train__c04__user19__5-2-3,user19,2,4,9,9,False,False,23,16-31,both_wrong
train__c04__user1__1-1-1,user1,1,4,7,7,False,False,46,32-63,both_wrong
train__c04__user20__6-2-1,user20,0,4,9,4,False,True,31,16-31,t2_only
train__c04__user20__6-2-2,user20,0,4,9,9,False,False,18,16-31,both_wrong
train__c04__user20__6-2-3,user20,0,4,9,9,False,False,39,32-63,both_wrong
train__c04__user21__1-1-1,user21,0,4,9,9,False,False,27,16-31,both_wrong
train__c04__user21__1-1-2,user21,0,4,9,9,False,False,29,16-31,both_wrong
train__c04__user21__1-1-3,user21,0,4,9,9,False,False,13,<=15,both_wrong
train__c04__user21__7-2-1,user21,0,4,9,9,False,False,23,16-31,both_wrong
train__c04__user21__7-2-2,user21,0,4,9,9,False,False,13,<=15,both_wrong
train__c04__user21__7-2-3,user21,0,4,9,9,False,False,24,16-31,both_wrong
train__c04__user22__1-1-2,user22,2,4,4,4,True,True,16,16-31,both_correct
train__c04__user22__1-1-3,user22,2,4,4,4,True,True,9,<=15,both_correct
train__c04__user22__6-2-1,user22,2,4,28,28,False,False,29,16-31,both_wrong
train__c04__user22__6-2-2,user22,2,4,28,28,False,False,24,16-31,both_wrong
train__c04__user22__6-2-3,user22,2,4,28,12,False,False,6,<=15,both_wrong
train__c04__user2__2-2-1,user2,1,4,10,10,False,False,34,32-63,both_wrong
train__c04__user2__2-2-2,user2,1,4,10,10,False,False,37,32-63,both_wrong
train__c04__user2__2-2-3,user2,1,4,10,10,False,False,8,<=15,both_wrong
train__c04__user2__7-3-3,user2,1,4,38,28,False,False,29,16-31,both_wrong
train__c04__user6__2-2-1,user6,2,4,9,9,False,False,20,16-31,both_wrong
train__c04__user6__2-2-2,user6,2,4,9,9,False,False,24,16-31,both_wrong
train__c04__user6__2-2-3,user6,2,4,8,8,False,False,11,<=15,both_wrong
train__c04__user7__1-1-1,user7,2,4,9,9,False,False,23,16-31,both_wrong
train__c04__user7__1-1-2,user7,2,4,8,8,False,False,10,<=15,both_wrong
train__c04__user7__1-1-3,user7,2,4,9,9,False,False,13,<=15,both_wrong
train__c04__user7__7-2-1,user7,2,4,9,11,False,False,29,16-31,both_wrong
train__c04__user7__7-2-2,user7,2,4,8,4,False,True,19,16-31,t2_only
train__c04__user7__7-2-3,user7,2,4,36,36,False,False,8,<=15,both_wrong
train__c04__user8__1-1-1,user8,1,4,4,9,True,False,17,16-31,c1_only
train__c04__user8__1-1-2,user8,1,4,4,9,True,False,11,<=15,c1_only
train__c04__user8__1-1-3,user8,1,4,4,9,True,False,13,<=15,c1_only
train__c04__user8__7-1-1,user8,1,4,4,4,True,True,10,<=15,both_correct
train__c04__user8__7-1-2,user8,1,4,24,8,False,False,12,<=15,both_wrong
train__c04__user8__7-1-3,user8,1,4,8,9,False,False,5,<=15,both_wrong
train__c04__user9__1-1-1,user9,0,4,8,0,False,False,13,<=15,both_wrong
train__c04__user9__1-1-2,user9,0,4,8,4,False,True,11,<=15,t2_only
train__c04__user9__1-1-3,user9,0,4,8,4,False,True,16,16-31,t2_only
train__c04__user9__5-2-1,user9,0,4,10,14,False,False,29,16-31,both_wrong
train__c04__user9__5-2-2,user9,0,4,10,14,False,False,21,16-31,both_wrong
train__c04__user9__5-2-3,user9,0,4,10,14,False,False,19,16-31,both_wrong
train__c05__user18__6-1-1,user18,0,5,5,3,True,False,42,32-63,c1_only
train__c05__user18__6-1-2,user18,0,5,31,3,False,False,47,32-63,both_wrong
train__c05__user18__6-1-3,user18,0,5,15,15,False,False,39,32-63,both_wrong
train__c05__user18__7-1-1,user18,0,5,31,5,False,True,56,32-63,t2_only
train__c05__user18__7-1-2,user18,0,5,31,31,False,False,39,32-63,both_wrong
train__c05__user18__7-1-3,user18,0,5,31,5,False,True,42,32-63,t2_only
train__c05__user19__1-1-1,user19,2,5,5,31,True,False,117,>=64,c1_only
train__c05__user19__1-1-2,user19,2,5,5,2,True,False,88,>=64,c1_only
train__c05__user19__1-1-3,user19,2,5,5,31,True,False,59,32-63,c1_only
train__c05__user1__1-1-1,user1,1,5,31,31,False,False,123,>=64,both_wrong
train__c05__user1__1-1-2,user1,1,5,31,31,False,False,51,32-63,both_wrong
train__c05__user1__1-1-3,user1,1,5,31,30,False,False,38,32-63,both_wrong
train__c05__user21__6-1-1,user21,0,5,5,5,True,True,85,>=64,both_correct
train__c05__user21__6-1-2,user21,0,5,31,5,False,True,121,>=64,t2_only
train__c05__user21__6-1-3,user21,0,5,36,36,False,False,40,32-63,both_wrong
train__c05__user22__2-2-1,user22,2,5,5,5,True,True,74,>=64,both_correct
train__c05__user22__2-2-2,user22,2,5,2,2,False,False,114,>=64,both_wrong
train__c05__user22__2-2-3,user22,2,5,5,5,True,True,41,32-63,both_correct
train__c05__user22__6-1-1,user22,2,5,31,5,False,True,52,32-63,t2_only
train__c05__user22__6-1-2,user22,2,5,5,5,True,True,46,32-63,both_correct
train__c05__user22__6-1-3,user22,2,5,5,5,True,True,56,32-63,both_correct
train__c05__user22__7-2-1,user22,2,5,31,31,False,False,81,>=64,both_wrong
train__c05__user22__7-2-2,user22,2,5,31,31,False,False,62,32-63,both_wrong
train__c05__user22__7-2-3,user22,2,5,31,31,False,False,26,16-31,both_wrong
train__c05__user3__1-1-1,user3,0,5,6,6,False,False,73,>=64,both_wrong
train__c05__user3__1-1-2,user3,0,5,31,5,False,True,44,32-63,t2_only
train__c05__user3__1-1-3,user3,0,5,31,5,False,True,34,32-63,t2_only
train__c05__user7__1-1-1,user7,2,5,5,5,True,True,36,32-63,both_correct
train__c05__user7__1-1-2,user7,2,5,5,5,True,True,31,16-31,both_correct
train__c05__user7__1-1-3,user7,2,5,5,2,True,False,36,32-63,c1_only
train__c05__user7__6-1-1,user7,2,5,31,31,False,False,35,32-63,both_wrong
train__c05__user7__6-1-2,user7,2,5,28,28,False,False,71,>=64,both_wrong
train__c05__user7__6-1-3,user7,2,5,31,31,False,False,33,32-63,both_wrong
train__c05__user8__6-1-1,user8,1,5,5,5,True,True,144,>=64,both_correct
train__c05__user8__6-1-2,user8,1,5,5,5,True,True,88,>=64,both_correct
train__c05__user8__6-1-3,user8,1,5,5,3,True,False,40,32-63,c1_only
train__c05__user8__7-1-1,user8,1,5,5,6,True,False,47,32-63,c1_only
train__c05__user8__7-1-2,user8,1,5,5,5,True,True,51,32-63,both_correct
train__c05__user8__7-1-3,user8,1,5,31,5,False,True,8,<=15,t2_only
train__c05__user9__1-1-1,user9,0,5,6,5,False,True,36,32-63,t2_only
train__c05__user9__1-1-2,user9,0,5,6,2,False,False,21,16-31,both_wrong
train__c05__user9__1-1-3,user9,0,5,5,3,True,False,30,16-31,c1_only
train__c06__user16__1-2-1,user16,1,6,7,7,False,False,25,16-31,both_wrong
train__c06__user16__1-2-2,user16,1,6,7,7,False,False,29,16-31,both_wrong
train__c06__user16__1-2-3,user16,1,6,6,6,True,True,20,16-31,both_correct
train__c06__user16__3-2-1,user16,1,6,39,39,False,False,31,16-31,both_wrong
train__c06__user16__3-2-2,user16,1,6,7,6,False,True,25,16-31,t2_only
train__c06__user16__3-2-3,user16,1,6,39,39,False,False,13,<=15,both_wrong
train__c06__user16__5-3-1,user16,1,6,10,10,False,False,138,>=64,both_wrong
train__c06__user16__5-3-2,user16,1,6,19,19,False,False,78,>=64,both_wrong
train__c06__user16__5-3-3,user16,1,6,19,19,False,False,32,32-63,both_wrong
train__c06__user16__6-2-1,user16,1,6,6,6,True,True,16,16-31,both_correct
train__c06__user16__6-2-2,user16,1,6,38,39,False,False,13,<=15,both_wrong
train__c06__user16__6-2-3,user16,1,6,6,6,True,True,19,16-31,both_correct
train__c06__user18__6-2-1,user18,0,6,7,23,False,False,9,<=15,both_wrong
train__c06__user18__6-2-3,user18,0,6,7,7,False,False,5,<=15,both_wrong
train__c06__user19__3-2-1,user19,2,6,20,20,False,False,13,<=15,both_wrong
train__c06__user19__3-2-2,user19,2,6,20,20,False,False,11,<=15,both_wrong
train__c06__user19__3-2-3,user19,2,6,20,20,False,False,17,16-31,both_wrong
train__c06__user19__7-2-1,user19,2,6,31,31,False,False,16,16-31,both_wrong
train__c06__user19__7-2-2,user19,2,6,31,31,False,False,20,16-31,both_wrong
train__c06__user19__7-2-3,user19,2,6,31,6,False,True,20,16-31,t2_only
train__c06__user1__4-1-1,user1,1,6,6,6,True,True,61,32-63,both_correct
train__c06__user1__4-1-2,user1,1,6,6,6,True,True,47,32-63,both_correct
train__c06__user1__4-1-3,user1,1,6,23,23,False,False,22,16-31,both_wrong
train__c06__user1__5-1-1,user1,1,6,23,23,False,False,34,32-63,both_wrong
train__c06__user1__5-1-2,user1,1,6,6,6,True,True,29,16-31,both_correct
train__c06__user1__5-1-3,user1,1,6,23,23,False,False,15,<=15,both_wrong
train__c06__user20__2-1-1,user20,0,6,6,6,True,True,21,16-31,both_correct
train__c06__user20__2-1-2,user20,0,6,9,9,False,False,30,16-31,both_wrong
train__c06__user20__2-1-3,user20,0,6,9,8,False,False,10,<=15,both_wrong
train__c06__user20__4-1-1,user20,0,6,7,7,False,False,30,16-31,both_wrong
train__c06__user20__4-1-2,user20,0,6,7,37,False,False,10,<=15,both_wrong
train__c06__user20__4-1-3,user20,0,6,7,7,False,False,15,<=15,both_wrong
train__c06__user21__6-2-1,user21,0,6,7,7,False,False,26,16-31,both_wrong
train__c06__user21__6-2-2,user21,0,6,7,7,False,False,28,16-31,both_wrong
train__c06__user21__6-2-3,user21,0,6,7,39,False,False,10,<=15,both_wrong
train__c06__user21__7-1-1,user21,0,6,6,6,True,True,16,16-31,both_correct
train__c06__user21__7-1-2,user21,0,6,6,6,True,True,11,<=15,both_correct
train__c06__user21__7-1-3,user21,0,6,6,6,True,True,19,16-31,both_correct
train__c06__user22__2-1-1,user22,2,6,6,6,True,True,32,32-63,both_correct
train__c06__user22__2-1-2,user22,2,6,6,6,True,True,20,16-31,both_correct
train__c06__user22__2-1-3,user22,2,6,37,37,False,False,12,<=15,both_wrong
train__c06__user22__4-3-1,user22,2,6,20,20,False,False,16,16-31,both_wrong
train__c06__user22__4-3-2,user22,2,6,23,23,False,False,14,<=15,both_wrong
train__c06__user22__4-3-3,user22,2,6,23,23,False,False,24,16-31,both_wrong
train__c06__user22__6-2-1,user22,2,6,23,23,False,False,23,16-31,both_wrong
train__c06__user22__6-2-2,user22,2,6,23,23,False,False,15,<=15,both_wrong
train__c06__user22__6-2-3,user22,2,6,23,23,False,False,14,<=15,both_wrong
train__c06__user2__1-2-1,user2,1,6,7,7,False,False,30,16-31,both_wrong
train__c06__user2__1-2-2,user2,1,6,6,6,True,True,24,16-31,both_correct
train__c06__user2__1-2-3,user2,1,6,6,6,True,True,18,16-31,both_correct
train__c06__user2__2-1-1,user2,1,6,6,6,True,True,15,<=15,both_correct
train__c06__user2__2-1-2,user2,1,6,2,2,False,False,19,16-31,both_wrong
train__c06__user2__2-1-3,user2,1,6,7,7,False,False,19,16-31,both_wrong
train__c06__user2__2-2-1,user2,1,6,6,6,True,True,40,32-63,both_correct
train__c06__user2__2-2-2,user2,1,6,6,23,True,False,24,16-31,c1_only
train__c06__user2__2-2-3,user2,1,6,6,6,True,True,16,16-31,both_correct
train__c06__user2__4-2-1,user2,1,6,6,6,True,True,14,<=15,both_correct
train__c06__user2__4-2-2,user2,1,6,6,6,True,True,9,<=15,both_correct
train__c06__user2__4-2-3,user2,1,6,6,6,True,True,10,<=15,both_correct
train__c06__user3__1-2-1,user3,0,6,6,6,True,True,20,16-31,both_correct
train__c06__user3__1-2-2,user3,0,6,6,7,True,False,20,16-31,c1_only
train__c06__user3__1-2-3,user3,0,6,7,7,False,False,8,<=15,both_wrong
train__c06__user3__4-1-1,user3,0,6,6,7,True,False,22,16-31,c1_only
train__c06__user3__4-1-2,user3,0,6,7,7,False,False,34,32-63,both_wrong
train__c06__user3__4-1-3,user3,0,6,7,7,False,False,13,<=15,both_wrong
train__c06__user3__5-1-1,user3,0,6,7,7,False,False,18,16-31,both_wrong
train__c06__user3__5-1-2,user3,0,6,7,11,False,False,11,<=15,both_wrong
train__c06__user3__5-1-3,user3,0,6,6,6,True,True,18,16-31,both_correct
train__c06__user5__1-2-1,user5,2,6,6,6,True,True,26,16-31,both_correct
train__c06__user5__1-2-2,user5,2,6,6,6,True,True,28,16-31,both_correct
train__c06__user5__1-2-3,user5,2,6,6,6,True,True,20,16-31,both_correct
train__c06__user5__2-1-1,user5,2,6,8,8,False,False,75,>=64,both_wrong
train__c06__user5__2-1-2,user5,2,6,20,6,False,True,61,32-63,t2_only
train__c06__user5__2-1-3,user5,2,6,6,6,True,True,47,32-63,both_correct
train__c06__user5__3-2-1,user5,2,6,6,6,True,True,33,32-63,both_correct
train__c06__user5__3-2-2,user5,2,6,6,37,True,False,17,16-31,c1_only
train__c06__user5__3-2-3,user5,2,6,6,0,True,False,24,16-31,c1_only
train__c06__user5__6-2-1,user5,2,6,6,7,True,False,38,32-63,c1_only
train__c06__user5__6-2-2,user5,2,6,6,6,True,True,71,>=64,both_correct
train__c06__user5__6-2-3,user5,2,6,6,6,True,True,26,16-31,both_correct
train__c06__user5__7-2-1,user5,2,6,6,6,True,True,53,32-63,both_correct
train__c06__user5__7-2-2,user5,2,6,37,8,False,False,24,16-31,both_wrong
train__c06__user5__7-2-3,user5,2,6,0,0,False,False,20,16-31,both_wrong
train__c06__user6__1-2-1,user6,2,6,38,38,False,False,57,32-63,both_wrong
train__c06__user6__1-2-2,user6,2,6,6,6,True,True,55,32-63,both_correct
train__c06__user6__1-2-3,user6,2,6,2,2,False,False,36,32-63,both_wrong
train__c06__user6__3-2-1,user6,2,6,6,6,True,True,44,32-63,both_correct
train__c06__user6__3-2-2,user6,2,6,6,6,True,True,31,16-31,both_correct
train__c06__user6__3-2-3,user6,2,6,37,37,False,False,19,16-31,both_wrong
train__c06__user6__5-3-1,user6,2,6,29,9,False,False,70,>=64,both_wrong
train__c06__user6__5-3-2,user6,2,6,29,29,False,False,72,>=64,both_wrong
train__c06__user6__5-3-3,user6,2,6,15,15,False,False,45,32-63,both_wrong
train__c06__user6__6-2-1,user6,2,6,6,6,True,True,35,32-63,both_correct
train__c06__user6__6-2-2,user6,2,6,37,37,False,False,18,16-31,both_wrong
train__c06__user6__6-2-3,user6,2,6,37,37,False,False,20,16-31,both_wrong
train__c06__user7__5-2-1,user7,2,6,6,6,True,True,33,32-63,both_correct
train__c06__user7__5-2-2,user7,2,6,6,6,True,True,16,16-31,both_correct
train__c06__user7__5-2-3,user7,2,6,6,6,True,True,11,<=15,both_correct
train__c06__user8__6-2-1,user8,1,6,4,38,False,False,24,16-31,both_wrong
train__c06__user8__6-2-2,user8,1,6,37,20,False,False,16,16-31,both_wrong
train__c06__user8__6-2-3,user8,1,6,4,13,False,False,26,16-31,both_wrong
